County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clatsop,NW-2013-1149228,PSU13-03-22-Pp,13NWR03015,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Seaside,OR,Pacific,16th Avenue,46.00539,dd.dddd,actual,-123.92957,dd.dddd,NA,GPS,N,N,2013-MAR-22,2013,MAR,22,Beach or Land,NA,Fresh Dead,N,2013-MAR-22,2013,MAR,22,Fresh Dead,N,Male,Adult,149,cm,actual,0,kg,estimate,Y,PSU archive,N,2013-APR-04,2013,APR,4,Duffield et al.,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,-0.02125027,0.017508572,-123.92957,46.00539
Clatsop,NW-2017-1194095,PSU17-03-01-Pp,17NWR03001,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Seaside,OR,Pacific Ocean,just south of Avenue L,45.98597,decimal degrees,actual,-123.93442,decimal degrees,actual,GPS,N,Y,2017-MAR-01,2017,MAR,1,Beach or Land,NA,Advanced Decomposition,N,2017-MAR-01,2017,MAR,1,Advanced Decomposition,N,Female,Subadult,117.3,cm,actual,NA,NA,NA,Y,PSU,N,2017-APR-13,2017,APR,13,Duffield et al.,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,-0.01640027,0.036928572,-123.93442,45.98597
Clatsop,NW-2016-1188676,PSU16-05-23-Pp,16NWR05034,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Hammond,OR,Pacific,0.75 mile south of Peter Iredale Road access at Fort Stevens State Park,46.1729,dd.dddd,actual,-123.97795,dd.dddd,NA,GPS,N,Y,2016-MAY-22,2016,MAY,22,Beach or Land,NA,Moderate Decomposition,N,2016-MAY-23,2016,MAY,23,Moderate Decomposition,N,Female,Adult,168,cm,actual,0,kg,estimate,Y,PSU,N,2016-JUN-21,2016,JUN,21,Duffield et al.,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,0.02712973,-0.150001428,-123.97795,46.1729
Clatsop,NW-2009-1090853,PSU09-03-02-Pp,09NWR02026,Confirmed - Medium,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Arch Cape,OR,Pacific Ocean,Falcon Cove,45.79211,dd.dddd,NA,-123.96788,dd.dddd,NA,GPS,N,CBD,2009-FEB-28,2009,FEB,28,Beach or Land,NA,Fresh Dead,N,2009-MAR-02,2009,MAR,2,Fresh Dead,N,Male,Subadult,139.5,cm,actual,0,lb,estimate,Y,PSU archive,N,2009-MAR-08,2009,MAR,8,Duffield,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,0.01705973,0.230788572,-123.96788,45.79211
Clatsop,NW-2016-1193426,PSU16-12-12-Er,16NWR12022,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Gearhart,OR,Pacific Ocean,0.25 mile south of the 10th Street access (tide took carcass back out by 12/13; restranded at 16th Street in Seaside 12/14),46.02724,decimal degrees,actual,-123.92996,decimal degrees,actual,GPS,N,CBD,2016-DEC-12,2016,DEC,12,Beach or Land,NA,Moderate Decomposition,N,2016-DEC-12,2016,DEC,12,Moderate Decomposition,N,Male,Calf,429,cm,actual,NA,NA,NA,Y,PSU,N,2016-DEC-14,2016,DEC,14,D'Alessandro et al.,NA,NA,Gray whale,OR_Coast,46.02289857,-123.9508203,-0.02086027,-0.004341428,-123.92996,46.02724
Clatsop,NW-2014-1158418,PSU14-04-15-Er,14NWR04026,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Seaside,OR,Pacific,Ave J,45.98801,dd.dddd,actual,-123.93462,dd.dddd,NA,GPS,N,CBD,2014-APR-13,2014,APR,13,Beach or Land,NA,Advanced Decomposition,N,2014-APR-15,2014,APR,15,Advanced Decomposition,N,Male,Adult,1265,cm,actual,0,kg,NA,Y,PSU archive,N,NA,NA,NA,NA,NA,NA,NA,Gray whale,OR_Coast,46.02289857,-123.9508203,-0.01620027,0.034888572,-123.93462,45.98801
Clatsop,NW-2010-1121702,PSU10-01-02-Pm,10NWR01047,Confirmed - High,"Whale, sperm",Physeter,macrocephalus,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Cannon Beach,OR,Pacific Ocean,Umpqua St.,45.86967,dd.dddd,NA,-123.96225,dd.dddd,NA,GPS,N,CBD,2010-JAN-02,2010,JAN,2,Beach or Land,NA,Moderate Decomposition,N,2010-JAN-02,2010,JAN,2,Moderate Decomposition,N,Female,Calf,465,cm,actual,0,lb,estimate,Y,HMSC and PSU archives,N,2010-JAN-03,2010,JAN,3,Duffield et al,NA,NA,Sperm whale,OR_Coast,46.02289857,-123.9508203,0.01142973,0.153228572,-123.96225,45.86967
Clatsop,NW-2012-1145910,PSU12-06-20-Pp,12NWR06060,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Gearhart,OR,Pacific,1.3 miles south of Sunset Beach access,46.08246,dd.dddd,actual,-123.93821,dd.dddd,NA,GPS,N,CBD,2012-JUN-20,2012,JUN,20,Beach or Land,NA,Moderate Decomposition,N,2012-JUN-20,2012,JUN,20,Moderate Decomposition,N,Male,Subadult,108,cm,actual,0,kg,estimate,Y,PSU archive,N,2012-JUN-28,2012,JUN,28,Duffield et al.,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,-0.01261027,-0.059561428,-123.93821,46.08246
Clatsop,NW-2013-1200508,PSU13-05-24-Pp,13NWR05080,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NA,Cannon Beach,OR,Pacific Ocean,Arcadia Beach,45.8364,decimal degrees,actual,-123.96153,decimal degrees,actual,GPS,N,Y,2013-MAY-24,2013,MAY,24,Beach or Land,NA,Fresh Dead,N,2013-MAY-24,2013,MAY,24,Fresh Dead,N,Female,Adult,167.3,cm,actual,NA,NA,NA,Y,PSU,N,2014-APR-24,2014,APR,24,Duffield et al.,"jaw broken; heavy trauma, especially around head; recently pregnant; the porpoise had good body condition",NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,0.01070973,0.186498572,-123.96153,45.8364
Clatsop,NW-2013-1155452,PSU13-11-17-Pp,13NWR11040,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Cannon Beach,OR,Pacific,Silver Point,45.85764,dd.dddd,actual,-123.96363,dd.dddd,NA,GPS,N,Y,2013-NOV-17,2013,NOV,17,Beach or Land,NA,Fresh Dead,N,2013-NOV-17,2013,NOV,17,Fresh Dead,N,Male,Adult,160.3,cm,actual,0,kg,estimate,Y,PSU archived,N,2013-NOV-20,2013,NOV,20,Duffield et al,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,0.01280973,0.165258572,-123.96363,45.85764
Clatsop,NW-2012-1145822,PSU12-06-08-Pp,12NWR06019,Confirmed - High,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NA,Arch Cape,OR,Pacific,300 yards south of Silver Point,45.8553,dd.dddd,actual,-123.96366,dd.dddd,NA,GPS,N,Y,2012-JUN-08,2012,JUN,8,Beach or Land,NA,Advanced Decomposition,N,2012-JUN-08,2012,JUN,8,Advanced Decomposition,N,Male,Adult,149.5,cm,actual,0,kg,estimate,Y,PSU archive,N,2012-JUL-23,2012,JUL,23,D'Alessandro et al.,NA,NA,Harbor porpoise,OR_Coast,46.02289857,-123.9508203,0.01283973,0.167598572,-123.96366,45.8553
