County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2003-1000771,03-CM-015,03NWR04009,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,National Park Service,National Park Service,NW,South Sand Point,WA,Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2003-APR-19,2003,APR,19,Beach or Land,NA,Fresh Dead,N,2003-APR-19,2003,APR,19,Fresh Dead,NA,Unid,Unid,0,cm,actual,NA,kg,actual,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2004-1040558,DNG04002,04NWR11006,Confirmed - Medium Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,USFWS,USFWS,NW,Dungeness Spitt,WA,Strait of Juan de Fuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2004-NOV-04,2004,NOV,4,Beach or Land,NA,Fresh Dead,N,2004-NOV-04,2004,NOV,4,Fresh Dead,N,Male,Subadult,161,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2009-1104485,WDFW2009-092,09NWR08080,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,Forks,WA,Pacific,100 yards south of Hole-in-the-Wall,47.9239,dd.dddd,NA,-124.6401,dd.dddd,NA,Internet/Software,N,CBD,2009-AUG-14,2009,AUG,14,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Unid,Subadult,130,cm,Estimated,35,kg,NA,N,NA,NA,NA,NA,NA,NA,NA,"Found on beach ~100 yards south of Hole-in-the-Wall near Rialto Beach, Olympic Coast, WA",WDFW2009-092,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.483477406,0.228438115,-124.6401,47.9239
Clallam,NW-2005-1046497,Pd-NPP-05-01,05NWR01012,Confirmed - Medium Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Strait of Juan de Fuca,Sooes Beach,48.18,decimal minutes,actual,-124.4,decimal minutes,actual,GPS,N,N,2005-JAN-21,2005,JAN,21,Beach or Land,NA,Fresh Dead,N,2005-JAN-21,2005,JAN,21,Fresh Dead,N,Male,Adult,176,cm,actual,NA,NA,NA,Y,NA,NA,2005-JAN-21,2005,JAN,21,"Pamplin, N.",no obvious external trauma,NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,0.243377406,-0.027661885,-124.4,48.18
Clallam,NW-2011-1141678,11-CM-017,11NWR07108,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Port Angeles,WA,Pacific Ocean,"Freshwater Bay County Park, Straight on Juan de Fuca",48.146967,decimal degrees,estimate,-123.641717,decimal degrees,estimate,GPS,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Adult,60,in,estimate,125,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,"Reported by member of the public, sent Juan de Fuca MMSN to the site to collect the carcass and it was gone when they arrived a couple of hours later.",NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.514905594,0.005371115,-123.641717,48.146967
Clallam,NW-2011-1140055,CRC-1162,11NWR07091,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,WA,Pacific Ocean,Kalaloch Campground,47.613,dd.dddd,NA,-124.376,dd.dddd,NA,Internet/Software,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Male,Adult,5,ft,Estimated,100,lb,Estimated,N,NA,NA,NA,NA,NA,NA,NA,no response based on condition of animal,CRC-1162,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.219377406,0.539338115,-124.376,48.15233811
Clallam,NW-2016-1193148,CRC-1573,16NWR10035,Confirmed- High Report,"Whale, Blainvilles beaked",Mesoplodon,densirostris,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Neah Bay,WA,Pacific Ocean,"Tsoo-yess beach, Makah Bay",48.3118,dd.dddd,actual,-125,dd.dddd,actual,GPS,N,Y,2016-OCT-09,2016,OCT,9,Beach or Land,NA,Fresh Dead,N,2016-OCT-11,2016,OCT,11,Fresh Dead,N,Female,Adult,431,cm,actual,NA,NA,NA,Y,complete,fresh,2016-OCT-11,2016,OCT,11,CRC/Makah Fisheries/WDFW,"first seen dead on Sunday (09-Oct), bleeding heavily from the mouth. Beachwalker was at site on Saturday and did not see the animal there. Species determined via genetic sample.",NA,Blainvilles beaked whale,Inland_WA,48.15233811,-124.1566226,0.843377406,-0.159461885,-125,48.3118
Clallam,NW-2002-1027198,NW-4752,NMFSNW-4752,NA,"Porpoise, Dalls",Phocoenoides,dalli,Validated,NMML,NA,Unknown,NW,Sequim,WA,NA,.5 mile S of Pt. Williams County Park boat ramp,NA,NA,NA,NA,NA,NA,NA,NA,N,2002-APR-23,2002,APR,23,NA,NA,Fresh Dead,N,2002-APR-24,2002,APR,24,Advanced Decomposition,N,Male,Unid,183,cm,actual,NA,kg,actual,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,4752,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2015-1181407,MKH2015-08,15NWR07112,Confirmed- High Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Wa'atch point,48.3415,dd.dddd,estimate,-124.6806,dd.dddd,estimate,Internet/Software,N,N,2015-JUL-22,2015,JUL,22,Beach or Land,NA,Fresh Dead,N,2015-JUL-24,2015,JUL,24,Fresh Dead,N,Female,Unid,202,cm,actual,NA,NA,NA,Y,complete,fresh,2015-JUL-24,2015,JUL,24,Makah Fisheries Management,"During examination noted heavy scavenging. Skull cracked in area of scavenging. Scavenging from left eye to left scapula. Small bite marks, reported coyote pups scavenging from carcass. May have been a shark bite initally. In necropsy noted Discoloration",NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,0.523977406,-0.189161885,-124.6806,48.3415
Clallam,NW-2010-1120639,CRC-1021,10NWR01025,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Chrissy McLean,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,PTMSC,NW,Sequim,WA,Strait of Juan de Fuca,"Pt Williams boat ramp, Sequim",48.088,dd.dddd,NA,-123.0425,dd.dddd,NA,GPS,N,Y,2010-JAN-04,2010,JAN,4,Beach or Land,NA,Fresh Dead,N,2010-JAN-04,2010,JAN,4,Fresh Dead,N,Female,Subadult,112,cm,Actual,28,kg,Actual,Y,Complete,Fresh,2010-JAN-05,2010,JAN,5,CRC/WDFW,"PTMSC removed from beach, Josh picked up at their facility to bring back for necropsy",CRC-1021 010410-1,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-1.114122594,0.064338115,-123.0425,48.088
Clallam,NW-2015-1176907,JDF03AUG15A,15NWR09013,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,WA,Pacific Ocean,On Ediz Hook,48.142111,decimal degrees,estimate,-123.430286,decimal degrees,estimate,Internet,N,N,2015-AUG-03,2015,AUG,3,Beach or Land,NA,Fresh Dead,Y,2015-AUG-03,2015,AUG,3,Fresh Dead,N,Unid,Unid,40,in,estimate,NA,kg,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.726336594,0.010227115,-123.430286,48.142111
Clallam,NW-2014-1158998,MKH2014-002,14NWR03037,Confirmed- High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Tsoo-Yess Beach,48.3049,dd.dddd,estimate,-124.6643,dd.dddd,estimate,Internet/Software,N,CBD,2014-MAR-17,2014,MAR,17,Beach or Land,NA,Fresh Dead,N,2014-MAR-17,2014,MAR,17,Fresh Dead,N,Male,Adult,202,cm,actual,NA,NA,NA,Y,complete,fresh,2014-MAR-18,2014,MAR,18,MFM,"Reported 17-Mar-14 by Frankie Gonzales around 6:30PM. AA and JS responded. Fresh dead and mid-tide line. Jaw appeared split/degloved, scavenging around. Scratched along skin near head and left side body, some rake marks and scars present, froth coming from blowhole. Feces coming from rectum. Dark circular ""bruises"" on left and right flanks. Returned morning of 18-Mar for necropsy. External Comments: Scratches/rake marks particularly around left body, pec fin, and head, minimal scaring right side body. At response, scavenging left fluke, scavenging (moderate) left side head, left eye scavenged, left pec fin scavenged, dorsal fin tip scavenged. Think scratches on body mostly post-mortem (no hemorrhage underneath). Case Summary Necropsy: OPEN: Kidney extensive emphysema/crepitus around; 100 mL fluid in thoracic cavity; lungs aerated/spongy and right lung congested; based on other strandings of striped dolphin in Oregon and possibility of live stranding/drowning suspect possible Brucella or other infectious agent. Lab Results MICROSCOPIC: Central nervous system: Moderate to marked, lymphocytic inflammation is present primarily around blood vessels throughout the meninges of the spinal cord and brain and around blood vessels and Virchow-Robins spaces of the brain at all levels and in the white matter and gray matter tracts of the spinal cord. Inflammation also extends into and along the root ganglia. Some mild myelinic edema is noted in the white matter tracts primarily in the ventrolateral region of the spinal cord and in some of the root ganglia. Lymph node: Mild eosinophilic inflammation is in the medullary sinuses. Lung: The parenchyma is congested and edematous, and a single small focus of lymphohistiocytic/eosinophilic inflammation surrounds a bronchiole. Liver: Mild portal infiltrates of lymphocytes and eosinophils are noted. The following tissues are histologically within normal limits: kidney. HISTOPATHOLOGIC DIAGNOSIS: 1. Marked nonsuppurative meningoencephalomyelitis and root ganglioneuritis. 2. Acute pulmonary congestion and edema. 3. Mild eosinophilic inflammation, liver, lymph node, and lung. COMMENT: Histologic findings are consistent with an infectious disease process that has a tropism for the central nervous system. The morphologic features and distribution of the lesion are most suggestive of viral infection. The lesion lacks the microglial nodule formation typically associated with protozoan infection and the suppurative components typically associated with most bacterial infections. No viral inclusions are seen in any of the sections. This is a case in which immunohistochemistry and PCR are indicated to screen for some of the important viral infections and protozoan infections that occur in cetaceans. Please notify the laboratory if you would like ancillary procedures performed. This animal has acute features in the lung that are consistent with drowning. It has some mild eosinophilic inflammation in various tissues typical of the parasitism that is commonly encountered in while cetaceans and pinnipeds. No parasites are seen in the sections. Addendum, 3/31/14: Following email discourse with multiple participants, it is understood that the morbillivirus PCR and viral culture procedures are pending at U.C. Davis, and that pending these results, PCR and IHC from paraffin block for pathogens may be indicated. I have reviewed pathology reports (but not slides) for similar striped dolphin submissions to other institutions and suggest that these cases may represent the same disease process. UC Davis Results 4/14/2014: Negative for Morbillivirus testing. NVSL Brucella culture 4/28/2014: Culture positive in brain tissue but not lung. Addendum, 5/21/14: As per your request, block 2 has been forwarded for Brucella PCR (USDA). An addendum will follow. IHC results via NW Zoopath 8/12/2014: Negative for Brucella.",NA,Striped dolphin,Inland_WA,48.15233811,-124.1566226,0.507677406,-0.152561885,-124.6643,48.3049
Clallam,NW-2011-1139928,010410-1,NA,NA,"Porpoise, harbor",Phocoena,phocoena,NA,Port Townsend Marine Science Center,port townsend marine science center,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Near Sequim,WA,Pacific Ocean,"Sequim Bay, 100yrds N of standpipe, pt williams beach",48.0528,NA,NA,-123.0255,NA,Actual,GPS,NA,CBD,2010-Jan-4,2010,JAN,4,Beach or Land,NA,Fresh Dead,n,2010-Jan-4,2010,JAN,4,Fresh Dead,n,Female,Subadult,45,in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-1.131122594,0.099538115,-123.0255,48.0528
Clallam,NW-2008-1081437,DNG-08-01,08NWR07075,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,USFWS,NOAA Fisheries,NW,Sequim,WA,Pacific Ocean,"Puget Sound Base of Dungeoness Spit, south 1/2 mile",48.147275,decimal degrees,actual,-123.1852,decimal degrees,actual,Internet,N,CBD,2008-JUL-21,2008,JUL,21,NA,NA,Fresh Dead,N,2008-JUL-21,2008,JUL,21,Fresh Dead,N,Female,Calf,87,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.971422594,0.005063115,-123.1852,48.147275
Clallam,NW-2005-1044867,CRC-558,05NWR05031,Confirmed - Medium Report,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Oil City,WA,Pacific Ocean,Jefferson Cove,47.4625,deg/min/sec,actual,-124.271,deg/min/sec,actual,GPS,N,CBD,2005-MAY-23,2005,MAY,23,Beach or Land,NA,Moderate Decomposition,N,2005-MAY-28,2005,MAY,28,Advanced Decomposition,N,Unid,Yearling,844,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray whale,Inland_WA,48.15233811,-124.1566226,0.114377406,0.689838115,-124.271,48.15233811
Clallam,NW-2016-1193352,MKH2016-004,16NWR04078,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Strait of Juan de Fuca,3rd Beach,48.3678,dd.dddd,estimate,-125,dd.dddd,estimate,Internet/Software,N,CBD,2016-APR-27,2016,APR,27,Beach or Land,NA,Fresh Dead,N,2016-APR-27,2016,APR,27,Fresh Dead,N,Unid,Calf,52,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,Carcass heavily scavenged with skin only present from blowhole to snout and the end of the peduncle. The rest of body was scavenged to the bone.,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.843377406,-0.215461885,-125,48.3678
Clallam,NW-2007-1070357,WDFW0407-04,07NWR04050,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Ray Colby,Makah Fisheries Management,Makah Tribe,NW,Neah Bay,WA,Makah Bay,Between Sooes River Mouth/Strawberry Rock,48.3208,decimal degrees,NA,-124.6568,decimal degrees,NA,Internet/Software,N,N,2007-APR-10,2007,APR,10,Beach or Land,NA,Fresh Dead,N,2007-APR-10,2007,APR,10,Fresh Dead,N,Female,Adult,163,cm,Actual,45,kg,Estimated,Y,NA,NA,2007-APR-12,2007,APR,12,WDFW/CRC,Ray picked up on 4/10/07 from beach. Transferred to Joe Scordino on 4/11/07. Joe dropped off at Lakewood for necropsy on 4/12/07,WDFW0407-04,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.500177406,-0.168461885,-124.6568,48.3208
Clallam,NW-2011-1140207,11-CM-011,11NWR05055,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,Elwah,WA,Pacific Ocean,"Straight of Juan de Fuca, West Elwah Beach in front of farthest house west",48.13691,decimal degrees,actual,-123.58225,decimal degrees,actual,GPS,N,CBD,2011-MAY-30,2011,MAY,30,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,in,estimate,0,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.574372594,0.015428115,-123.58225,48.13691
Clallam,NW-2010-1120856,WDFW2010-052,10NWR03017,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,La Push,WA,Pacific Ocean,Between Rialto Beach access and Hole-in-the-Wall,47.9283,dd.dddd,NA,-124.641,dd.dddd,NA,Internet/Software,N,CBD,2010-MAR-23,2010,MAR,23,Beach or Land,NA,Fresh Dead,Y,NA,NA,NA,NA,Fresh Dead,N,Male,Subadult,120,cm,Estimated,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"RP reported and sent pictures of porpoise seen with school group between Rialto Beach access and Hole-in-the-Wall, Olympic Coast. Dead, 3-4 ft, some cut marks around face and body most likely due to rolling in surf. ~One week later reports of dead ""baby o",WDFW2010-052,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.484377406,0.224038115,-124.641,47.9283
Clallam,NW-2003-1001929,CRC-498,03NWR09048,Confirmed - High Report,"Whale, sei",Balaenoptera,borealis,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Port Angeles,WA,Puget Sound,NA,NA,NA,N,NA,NA,N,NA,NA,Y,2003-SEP-12,2003,SEP,12,Beach or Land,NA,Fresh Dead,N,2003-SEP-15,2003,SEP,15,Moderate Decomposition,N,Male,Adult,1304,cm,actual,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,Cascadia and NMML,NA,NA,Other,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2005-1044535,05-CM-047,05NWR05012,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,USFWS,USFWS,NW,Dungeness Spit NWR,WA,Strait of Juan de Fuca,NA,NA,NA,NA,NA,NA,NA,NA,N,N,2005-MAY-20,2005,MAY,20,Beach or Land,NA,Fresh Dead,N,2005-MAY-21,2005,MAY,21,Fresh Dead,N,Male,Subadult,132,cm,actual,80,lb,estimate,Y,NA,NA,2005-JUN-02,2005,JUN,2,Raverty and Norman,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2010-1126529,CRC-1050,10NWR06076,Confirmed- High Report,"Whale, killer",Orcinus,orca,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Ozette,WA,Pacific Ocean,~1/2 mile south of Duk Point,48.2025,dd.dddd,NA,-124.6948,dd.dddd,NA,GPS,N,CBD,2010-JUN-17,2010,JUN,17,Beach or Land,NA,Advanced Decomposition,N,2010-JUN-19,2010,JUN,19,Advanced Decomposition,N,Female,Adult,610,cm,Actual,0,NA,NA,Y,Limited,Fresh,2010-JUN-19,2010,JUN,19,CRC/NOAA/WDFW,"first sighted 14-June, reported to OCNMS 15-June and reported to CRC/NOAA on 17 June.",CRC-1050,Killer whale,Inland_WA,48.15233811,-124.1566226,0.538177406,-0.050161885,-124.6948,48.2025
Clallam,NW-2011-1131027,CRC-1152,11NWR04009,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,NA,Cascadia Research,Cascadia Research,NW,Forks,WA,Pacific Ocean,"Just S of Toleak Point, 3rd Beach",47.8333,dd.dddd,NA,-124.5325,dd.dddd,NA,Internet/Software,N,CBD,2011-APR-28,2011,APR,28,Beach or Land,NA,Fresh Dead,Y,NA,NA,NA,NA,Fresh Dead,N,Unid,Adult,175,cm,Estimated,0,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"RP is former Cascadia employee, familiar with local marine mammals. No photos available.",CRC-1152,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.375877406,0.319038115,-124.5325,47.8333
Clallam,NW-2017-1200565,MKH2017-019,17NWR08080,Unconfirmed,unidentified cetacean,NA,NA,Ready for Regional Validation,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Strait of Juan de Fuca,Near Tatoosh Island,48.3981,dd.dddd,estimate,-124.7708,dd.dddd,estimate,GPS,N,CBD,2017-AUG-28,2017,AUG,28,Floating,NA,NA,Y,2017-AUG-28,2017,AUG,28,NA,N,Unid,Unid,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Response to a call of a ""dead floating killer whale"" No photos were taken, no coordinates were recored nor a time of sighting. Animal was reported to be near Tatoosh Island, east of bouy and drifting west with the current but seemed uncertain. Reporter sa",NA,NA,Unidentified,Inland_WA,48.15233811,-124.1566226,0.614177406,-0.245761885,-124.7708,48.3981
Clallam,NW-2009-1098691,MKH-Pp-09-2,09NWR08027,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Hobuck Beach,48.5595,decimal degrees,actual,-124.1097,decimal degrees,actual,GPS,N,N,2009-AUG-14,2009,AUG,14,NA,NA,Fresh Dead,N,2009-AUG-14,2009,AUG,14,Fresh Dead,N,Male,Calf,95,cm,estimate,NA,NA,NA,Y,NA,fresh,2009-AUG-14,2009,AUG,14,John Scordino,No additional remarks,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.046922594,-0.407161885,-124.1097,48.5595
Clallam,NW-2001-1025951,Dng-01-004,NMFSNW-3556,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NA,Unknown,NW,Sequim,WA,NA,4-mile marker; Strait side; Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,NA,N,2001-MAY-13,2001,MAY,13,NA,NA,Fresh Dead,N,2001-MAY-14,2001,MAY,14,Moderate Decomposition,N,Female,Unid,1010,cm,actual,NA,kg,actual,Y,NA,NA,NA,NA,NA,NA,Unknown,call taken & form completed by Pam Sanguinetti - USFWS agent,3556,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2016-1189978,JdF26July1A,16NWR07032,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Helle Andersen,Feiro Marine Life Center,Feiro Marine Life Center,NW,Port Angeles,WA,Pacific Ocean,At the mouth of Lees Creek,48.114805,decimal degrees,estimate,-123.388289,decimal degrees,NA,Internet,N,N,2016-JUL-26,2016,JUL,26,Beach or Land,NA,Moderate Decomposition,N,2016-JUL-26,2016,JUL,26,Moderate Decomposition,N,Male,Calf,72,cm,actual,NA,kg,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.768333594,0.037533115,-123.388289,48.114805
Clallam,NW-2006-1062617,CRC-769,06NWR08069,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,WA,Strait of Juan de Fuca,off Sekiu,NA,NA,NA,NA,NA,NA,NA,N,Y,2006-AUG-22,2006,AUG,22,Swimming,NA,Fresh Dead,N,2006-AUG-23,2006,AUG,23,Fresh Dead,N,Male,Adult,152,cm,actual,47,kg,actual,Y,NA,NA,2006-AUG-23,2006,AUG,23,Cascadia Research,Packed on ice by fishery and transported to Port Angeles for pickup.,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2010-1128094,10-CM-019,10NWR08095,Confirmed - Minimum,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Dungeness National Wildlife Refuge,Dungeness National Wildlife Refuge,NW,Seqium,WA,Pacific Ocean,"Straight of Juan de Fuca, Dungeness Spt",48.158372,decimal degrees,estimate,-123.172953,decimal degrees,estimate,Internet,N,CBD,2010-AUG-04,2010,AUG,4,Beach or Land,NA,Condition Unknown,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,in,estimate,0,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,Was reported to NOAA by the Dungeness Wildlife Refuge - I asked for more information about the carcass to see if we could collect it for necropsy and for Level A data - carcass was gone when they went back out to locate it.,NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,-0.983669594,-0.006033885,-123.172953,48.158372
Clallam,NW-2003-1001440,03-CM-097,03NWR07036,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,Whiskey Creek Resort,WA,Strait of Juan de Fuca,NA,NA,NA,N,NA,NA,N,NA,NA,CBD,2003-JUL-28,2003,JUL,28,Beach or Land,NA,Moderate Decomposition,N,2003-JUL-29,2003,JUL,29,Moderate Decomposition,N,Female,Calf,91,cm,actual,20,lb,actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2014-1159518,14-CL-022,14NWR06047,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Coast Guard,USCG,USCG,NW,Port Angeles,WA,Pacific Ocean,Straight of Juan de Fuca,48.141839,decimal degrees,estimate,-123.434708,decimal degrees,estimate,NA,N,CBD,2014-JUN-09,2014,JUN,9,Beach or Land,NA,Advanced Decomposition,N,2014-JUN-09,2014,JUN,9,Advanced Decomposition,N,Unid,Adult,60,in,estimate,150,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.721914594,0.010499115,-123.434708,48.141839
Clallam,NW-2014-1170515,CRC-1454,14NWR09069,Confirmed- Medium Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,WA,Pacific Ocean,"just S of Split Rock, Rialto beach",47.9394,dd.dddd,estimate,-124.6483,dd.dddd,estimate,Internet/Software,N,CBD,2014-SEP-10,2014,SEP,10,Beach or Land,NA,Fresh Dead,Y,NA,NA,NA,NA,Fresh Dead,N,Male,Subadult,125,cm,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"seen on 10-Sep, not reported to stranding network until 16-Sep. No response due to delay in reporting. Examined via photos only.",NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,0.491677406,0.212938115,-124.6483,47.9394
