National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2009-1088259,HMSC09-03-06-Bp,09NWR03009,"Whale, fin",Balaenoptera,physalus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,"about 3 miles north of Siuslaw River mouth, near outlet to Sutton Creek, in surf. Sighed dead 3/7 at 44.129519, -124.124039, then at 44.13482, -124.12357 on 3/8",44.051667,decimal degrees,actual,_124.135000,,GPS,N,CBD,2009-MAR-06,2009,MAR,6,Swimming,,Alive,N,2009-MAR-08,2009,MAR,8,Moderate Decomposition,Y,MALE,SUBADULT,1678,cm,actual,0,lb,estimate,Y,limited,fresh,2009-MAR-08,2009,MAR,8,Jim Rice et al,"Carcass found on remote beach north of Sea Lion Caves. By morning of 3/8, had been moved by tide to Devil's Elbow State Park. State Parks insisted that stranding network not perform full necropsy so as not to mess up beach. Limited sampling of tissues done 3/8 and 3/9 prior to on site burial.",
NW-2007-1146825,HMSC07-01-14-Er,07NWR01038,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Waldport,Lincoln,OR,Pacific Ocean,offshore from Waldport in 25 fathoms,44.422661,dd.dddd,,_124.136438,,Internet,N,Y,2007-JAN-14,2007,JAN,14,Swimming,,Alive,Y,2007-JAN-14,2007,JAN,14,Alive,Y,UNKNOWN,ADULT,0,cm,estimate,0,lb,estimate,NA,,,,,,,,"The encounter was on January 14, 2007 at 9:58 am in about 25 fathoms off Alsea Bay (south of Newport); disentangled by fisherman Al Pazar; reported to Lauren Saez (NOAA) and Brent Norberg",
NW-2012-1145964,HMSC12-11-10-Mn,12NWR11009,"Whale, humpback",Megaptera,novaeangliae,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"floating off Sea Lion Caves, Heceta Head; later on Baker Beach",44.11,dd.dddd,,_124.138333,,GPS,N,CBD,2012-NOV-10,2012,NOV,10,Floating,,Moderate Decomposition,N,2012-NOV-15,2012,NOV,15,Advanced Decomposition,N,MALE,SUBADULT,855,cm,actual,0,lb,estimate,Y,limited,fresh,2012-NOV-16,2012,NOV,16,Jim Rice et al,,
NW-2015-1174658,HMSC15-07-12-Lb,15NWR07051,"Dolphin, northern right whale",Lissodelphis,borealis,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,about 3.7 miles south of south jetty,43.963141,dd.dddd,,_124.142627,,GPS,N,CBD,2015-JUL-12,2015,JUL,12,Beach or Land,,Fresh Dead,N,2015-JUL-12,2015,JUL,12,Fresh Dead,N,MALE,YEARLING,148,cm,actual,55,lb,actual,Y,complete,fresh,2015-JUL-13,2015,JUL,13,"Jim Rice, Joshua Carpenter, Breeze Kelley",,
NW-2017-1195322,HMSC17-03-30-Sc,17NWR03035,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"near 1st parking lot, near sign #106",43.956285,dd.dddd,,_124.143480,,Internet,N,CBD,2017-MAR-30,2017,MAR,30,Beach or Land,,Alive,N,2017-MAR-31,2017,MAR,31,Fresh Dead,Y,MALE,ADULT,72,in,estimate,0,lb,estimate,N,,,,,,,,,
NW-2016-1188583,HMSC16-07-06-Pp,16NWR07004,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,near South Jetty parking area #1,43.958183,dd.dddd,,_124.143669,,Internet,N,CBD,2016-JUL-06,2016,JUL,6,Beach or Land,,Fresh Dead,N,2016-JUL-06,2016,JUL,6,Fresh Dead,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2008-1079709,HMSC08-07-02-Pp,08NWR07018,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,5 miles south of south jetty,43.94161,dd.dddd,,_124.14594,,GPS,N,CBD,2008-JUL-02,2008,JUL,2,Beach or Land,,Fresh Dead,N,2008-JUL-03,2008,JUL,3,Fresh Dead,N,MALE,ADULT,151.5,cm,actual,122,lb,actual,Y,complete,fresh,2008-JUL-03,2008,JUL,3,Jim Rice,was found by ATV rider and guarded from scavengers until it could be collected for necropsy,
NW-2009-1090869,HMSC09-03-27-Pp,09NWR03026,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,between Chapman sand road and Goose Pasture sand rd,43.934183,dd.dddd,,_124.147083,,GPS,N,CBD,2009-MAR-27,2009,MAR,27,Beach or Land,,Fresh Dead,Y,,,,,,N,UNKNOWN,ADULT,60,in,estimate,0,lb,estimate,N,,,,,,,,"report came on a Friday evening while stranding coordinator was out of town; beach ranger found animal next day, too big to collect and badly scavenged.",
NW-2009-1105163,HMSC09-07-10-Pp-2,09NWR07111,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,North of Chapman Sand road access,43.935233,dd.dddd,,_124.147567,,GPS,N,CBD,2009-JUL-10,2009,JUL,10,Beach or Land,,Fresh Dead,N,2009-JUL-10,2009,JUL,10,Fresh Dead,N,UNKNOWN,PUP/CALF,90,cm,estimate,0,lb,estimate,N,,,,,,,,found and photographed by Beach Ranger,
NW-2010-1129908,HMSC10-12-21-Lo,10NWR12028,"Dolphin, Pacific white-sided",Lagenorhynchus,obliquidens,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,Just N of Chapman sand road,43.92475,dd.dddd,,_124.148600,,GPS,N,CBD,2010-DEC-21,2010,DEC,21,Beach or Land,,Condition Unknown,N,2010-DEC-28,2010,DEC,28,Moderate Decomposition,N,UNKNOWN,SUBADULT,60,in,estimate,0,lb,estimate,N,,,,,,,,photographed by Beach Ranger,
