County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2000-1023603,NW-1408,NMFSNW-1408,"Porpoise, Dalls",Phocoenoides,dalli,Validated,B. Hanson,NA,MFS/NMML,NW,Sequim,WA,NA,west end of Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,N,2000-APR-23,2000,APR,23,NA,NA,Fresh Dead,N,2000-APR-26,2000,APR,26,Moderate Decomposition,N,Male,Unid,179,cm,actual,NA,kg,Y,NA,NA,NA,NA,Unknown,call taken & form completed by: Colleen Irvine (USFWS),NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2005-1044533,05-CM-046,05NWR05011,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,W side of Ediz Hook,NA,NA,NA,NA,NA,NA,N,CBD,2005-MAY-12,2005,MAY,12,Beach or Land,NA,Fresh Dead,N,2005-MAY-12,2005,MAY,12,Fresh Dead,N,Male,Subadult,130,cm,actual,100,kg,estimate,Y,NA,NA,2005-JUN-02,2005,JUN,2,Raverty and Norman,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2003-1001440,03-CM-097,03NWR07036,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,Whiskey Creek Resort,WA,Strait of Juan de Fuca,NA,NA,NA,N,NA,N,NA,NA,CBD,2003-JUL-28,2003,JUL,28,Beach or Land,NA,Moderate Decomposition,N,2003-JUL-29,2003,JUL,29,Moderate Decomposition,N,Female,Calf,91,cm,actual,20,lb,actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2003-1001199,03-CM-074,03NWR07008,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Mora,WA,Pacific Ocean,"N of Cape Johnson, just S of Saddle Rock",NA,NA,NA,NA,NA,NA,NA,CBD,2003-JUL-20,2003,JUL,20,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,NA,Unid,Unid,0,cm,actual,NA,kg,actual,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2013-1151370,MKH2013-012,13NWR07061,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Tsoo-Yess beach in front of Tribal Parking area,48.3076,dd.dddd,estimate,-124.6634,estimate,Internet/Software,N,CBD,2013-JUL-11,2013,JUL,11,Beach or Land,NA,Fresh Dead,N,2013-JUL-11,2013,JUL,11,Fresh Dead,N,Female,Calf,103,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Fresh dead harbor porpoise reported with photos to Pat Gearin NMML on Tsoo-Yess beach. AA responded to find 3 eagles scavenging. All internal organs scavenged, skull intact but severed at spine, tissue on head scavenged, eyes scavenged.",NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.475116358,-0.16615841,-124.6634,48.3076
Clallam,NW-2010-1126551,CRC-1086,10NWR07133,"Whale, Hubbs beaked",Mesoplodon,carlhubbsi,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,WA,Pacific Ocean,"La Push, 2nd beach",47.8882,dd.dddd,NA,-124.6251,NA,GPS,N,CBD,2010-JUL-29,2010,JUL,29,Beach or Land,NA,Advanced Decomposition,N,2010-AUG-02,2010,AUG,2,Advanced Decomposition,N,Female,Unid,360,cm,Actual,0,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Gender and species determined by SWFSC.,CRC-1086,Other,Inland_WA,48.14144159,-124.1882836,0.436816358,0.25324159,-124.6251,47.8882
Clallam,NW-2015-1181475,MKH2015-21,15NWR12006,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Makah Bay,"Tsoo-Yess, between Strawberry rock and Sones",48.317,dd.dddd,estimate,-124.6641,estimate,Internet/Software,N,CBD,2015-DEC-28,2015,DEC,28,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Reported during holiday break, did not respond untill January 4th and did not find carcass, Rosie Ward reported Porpise, no photos. Carcass was scavenged, she said half gone. I showed Rosie photographs and she thought White- sided dolphin, but also sugges",NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.475816358,-0.17555841,-124.6641,48.317
Clallam,NW-2011-1140055,CRC-1162,11NWR07091,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,WA,Pacific Ocean,Kalaloch Campground,47.613,dd.dddd,NA,-124.376,NA,Internet/Software,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Male,Adult,5,ft,Estimated,100,lb,Estimated,N,NA,NA,NA,NA,NA,NA,NA,no response based on condition of animal,CRC-1162,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.187716358,0.52844159,-124.376,48.14144159
Clallam,PP-NPP-05-01,PP-NPP-05-01,NA,"Porpoise, harbor",phocoena,phocoena,NA,Nate Pamplin,Makah Fisheries Management,Makah Fisheries Management,NW,Clallam Bay,WA,Strait of Juan de Fuca,West 0.5 mile of Clallam River mouth,48.2566,decimal degrees,Estimate,-124.26,Estimate,Internet,N,CBD,38552,2005,JUL,19,Beach or Land,NA,NA,Y,38555,2005,7,22,Moderate Decomposition,N,Unid,Calf,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Reporting party handed carcass frozen in a bag to Makah Fisheries.. Carcass stored in freezer, not examined.. . ",NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.071716358,-0.11515841,-124.26,48.2566
Clallam,NW-2010-1120856,WDFW2010-052,10NWR03017,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,La Push,WA,Pacific Ocean,Between Rialto Beach access and Hole-in-the-Wall,47.9283,dd.dddd,NA,-124.641,NA,Internet/Software,N,CBD,2010-MAR-23,2010,MAR,23,Beach or Land,NA,Fresh Dead,Y,NA,NA,NA,NA,Fresh Dead,N,Male,Subadult,120,cm,Estimated,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"RP reported and sent pictures of porpoise seen with school group between Rialto Beach access and Hole-in-the-Wall, Olympic Coast. Dead, 3-4 ft, some cut marks around face and body most likely due to rolling in surf. ~One week later reports of dead ""baby o",WDFW2010-052,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.452716358,0.21314159,-124.641,47.9283
