"Age.Class","Total (N)","Female (N)","Female (%)","Male (N)","Male (%)","Unid. (N)","Unid. (%)"
"Calf","72","15","20.8","34","47.2","23","31.9"
"Yearling","42","14","33.3","15","35.7","13","31"
"Subadult","140","37","26.4","69","49.3","34","24.3"
"Adult","163","67","41.1","66","40.5","30","18.4"
"Unid","125","10","8","17","13.6","98","78.4"
NA,"--","--","25.9","--","37.3","--","36.8"
