"Age.Class","Total (N)","Female (N)","Female (%)","Male (N)","Male (%)","Unid. (N)","Unid. (%)"
"Calf","351","105","29.9","138","39.3","108","30.8"
"Yearling","99","32","32.3","38","38.4","29","29.3"
"Subadult","320","81","25.3","146","45.6","93","29.1"
"Adult","509","210","41.3","207","40.7","92","18.1"
"Unid","248","26","10.5","39","15.7","183","73.8"
NA,"--","--","27.9","--","35.9","--","36.2"
