County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
King,NW-2014-1159430,CRC-1390,14NWR07067,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,Vashon,WA,Puget Sound,18631 Sunset Rd,47.436,dd.dddd,estimate,-122.5129,dd.dddd,estimate,Internet/Software,N,CBD,2014-JUL-13,2014,JUL,13,Beach or Land,NA,NA,Fresh Dead,N,2014-JUL-13,2014,JUL,13,Fresh Dead,N,Male,Calf,77.5,cm,actual,7.1,kg,2014-JUL-14,2014,JUL,14,CRC,May have been same as small porpoise reported 1/2 mile away 2 days prior.,Harbor porpoise,Inland_WA,4.75E+14,-1.22E+14,0.041273444,0.104743593,-1225129,47436
King,NW-2009-1091685,CRC-920,09NWR03031,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,Vashon Island,WA,Puget Sound,"KVI Beach, N end",47.428,dd.dddd,NA,-122.4346,dd.dddd,NA,GPS,N,CBD,2009-MAR-31,2009,MAR,31,Beach or Land,NA,NA,Fresh Dead,N,2009-APR-01,2009,APR,1,Fresh Dead,N,Female,Subadult,106,cm,Actual,17.5,kg,2009-APR-01,2009,APR,1,CRC,"seen on 28 Mar, not reported until 31 Mar.",Harbor porpoise,Inland_WA,4.75E+14,-1.22E+14,-0.037026556,0.112743593,-1224346,47428
King,NW-2006-1073801,06-KG-29,06NWR07149,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,NMFS-National Marine Mammal Laboratory,NMFS West Coast Region - Seattle,NW,United States,Vashon Island,WA,Puget Sound,"KVI beach, 150 ft. S. of radio tower",47.4214,decimal degrees,estimate,-122.43,decimal degrees,estimate,Internet,N,CBD,2006-JUL-12,2006,JUL,12,NA,NA,NA,Advanced Decomposition,N,2006-JUL-13,2006,JUL,13,Advanced Decomposition,N,Male,Adult,169,cm,actual,0,lb,NA,NA,NA,NA,NA,"Originally reported to WDFW MMI, call forwarded to Cascadia Research. CRC contacted Brad H. at NMFS, who asked Bill Walker (of NMML) to go out and examine animal. Unfortunately,none of the genetics involved submitted level A form. The discrepency was found on 29 Jan2008 by the harbor porpoise UME on site coordinator during the process of the UME investigation. Level A submitted to NOAA regional office by Jessie Huggins of CRC on 30 Jan 08. Bill Walker did not assign a field ID when the animal was examined and the samples were collected--field # assigned by NOAA regional office.",Harbor porpoise,Inland_WA,4.75E+14,-1.22E+14,-0.041626556,0.119343593,-12243,474214
Kitsap,NW-2016-1191230,CRC-1561,16NWR09009,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,NA,Olalla,WA,Puget Sound,NA,47.414,dd.dddd,actual,-123,dd.dddd,actual,GPS,N,CBD,2016-SEP-03,2016,SEP,3,Beach or Land,NA,NA,Fresh Dead,N,2016-SEP-03,2016,SEP,3,Fresh Dead,N,Male,Calf,102.5,cm,actual,18,kg,2016-SEP-06,2016,SEP,6,CRC,kept on ice until necropsy on 9/6/16.,Harbor porpoise,Inland_WA,8.80E+14,-2.22E+14,-222346.7737,87916.99543,-2.22E+14,8.80E+14
King,NW-2016-1191236,CRC-1521,16NWR04068,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,Vashon,WA,Puget Sound,"Vashon Island, E side mid (initial sighting)",47.4066,dd.dddd,estimate,-123,dd.dddd,estimate,Internet/Software,N,N,2016-APR-18,2016,APR,18,Floating,NA,NA,Fresh Dead,N,2016-APR-19,2016,APR,19,Fresh Dead,N,Male,Yearling,880,cm,actual,NA,NA,2016-APR-20,2016,APR,20,CRC,Id'd as same whale sighted live on 30 Mar in nisqually and 6 apr in Ballard Locks. Not same as Foss Waterway on 07 Apr.,Gray whale,Inland_WA,4.75E+14,-1.22E+14,0.528373444,0.134143593,-123,474066
King,NW-2008-1081201,CRC-850,08NWR07059,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,Cascadia Research,Cascadia Research,NW,NA,Des Moines,WA,Puget Sound,"Des Moines marina, between F & G dock",47.3996,dd.dddd,NA,-122.329,dd.dddd,NA,Internet/Software,N,N,2008-JUL-01,2008,JUL,1,Floating,NA,NA,Fresh Dead,N,2008-JUL-02,2008,JUL,2,Fresh Dead,N,Female,Subadult,128,cm,Actual,39,kg,2008-JUL-02,2008,JUL,2,CRC/WDFW,"floating, reported as a baby killer whale to 911 dispatch. Picked up by city of Des Moines and transferred to Dyanna for necropsy on 02 July.",Harbor porpoise,Inland_WA,4.75E+14,-1.22E+14,-0.142626556,0.141143593,-122329,473996
King,NW-2011-1142059,2011-MAST-003,11NWR05058,Confirmed- High Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,NA,Des Moines,WA,Puget Sound,Whaler's condos: 22989 marine drive South,47.3953,dd.dddd,NA,-122.3268,dd.dddd,NA,Internet/Software,N,CBD,2011-MAY-17,2011,MAY,17,Beach or Land,NA,NA,Fresh Dead,N,2011-MAY-18,2011,MAY,18,Fresh Dead,N,Male,Adult,203,cm,Actual,450,lb,2011-MAY-18,2011,MAY,18,"WDFW/MMI, CRC",Originally secured evening of 17 May by MaST volunteer.,Dalls porpoise,Inland_WA,4.75E+14,-1.22E+14,-0.144826556,0.145443593,-1223268,473953
Pierce,NW-2019-1220637,WDFW2019-042,19NWR06096,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,Dyanna Lambourn,Washington Department of Fish and Wildlife,Washington Department of Fish and Wildlife,NW,,Purdy,WA,Puget Sound,Burley Lagoon,47.3924,decimal degrees,actual,-122.6367,decimal degrees,actual,Internet,N,CBD,2019-JUN-02,2019,JUN,2,Beach or Land,,,Fresh Dead,Y,2019-JUN-09,2019,JUN,9,Advanced Decomposition,N,Female,Adult,147,cm,actual,60,kg,,,,,,Dead porpoise float ing burley lagoon; Aleerted nieghbor and Shell CO working in lagoon did not find until reported on 6/8/19. Enger complex reported been on beach for at least 2 day though was fish. picked up on 6/9 by KMH and GLLHAfter pushed off and float 4 nieghbors down. L- 147 AD F not PG. Took skull.. . .,,,,,,,,
Grays Harbor,NW-2014-1157839,CRC-1366,14NWR05050,Confirmed- High Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Tahola,WA,Pacific Ocean,"Camp Creek, QIN",47.3845,decimal degrees,actual,-124.3289,decimal degrees,actual,GPS,N,CBD,2014-MAY-08,2014,MAY,8,Beach or Land,NA,NA,Advanced Decomposition,N,2014-MAY-29,2014,MAY,29,Advanced Decomposition,N,Unid,Unid,1300,cm,estimate,NA,NA,2014-MAY-29,2014,MAY,29,NA,NA,Gray whale,WA_Coast,4.71E+14,-1.24E+14,0.172539308,-0.323027603,-1243289,473845
Pierce,NW-2017-1198869,WDFW2017-112,17NWR08063,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,United States,Purdy,WA,Puget Sound,Spit Near Power tower,47.3831,decimal degrees,actual,-123,decimal degrees,actual,NA,N,Y,2017-AUG-30,2017,AUG,30,Beach or Land,NA,NA,Fresh Dead,N,2017-AUG-30,2017,AUG,30,Fresh Dead,N,Male,Calf,104,cm,actual,19.5,kg,2017-AUG-30,2017,AUG,30,WDFW/MMI,Reported Fresh dead coming in with tide in AM. Still on the beach in the afternoon. Collected for necropsy. Active Tribal(Puyallup) fishing in area. Two nets 1 set net and other fishing more in middle. In Bay area. No other commercial fishing in area,Harbor porpoise,Inland_WA,4.73E+14,-1.23E+13,0.26951337,-0.09844763,-123,473831
