"Year.of.Observation","cnt_all"
2000,7.28571428571429
2001,5
2002,4
2003,4.76923076923077
2004,6.16666666666667
2005,7.44444444444444
2006,8.23076923076923
2007,6.30769230769231
2008,8
2009,11.375
2010,5.93333333333333
2011,9.58333333333333
2012,11.4166666666667
2013,6.23076923076923
2014,11.5
2015,7.46666666666667
2016,8.35714285714286
2017,7.625
2018,7.71428571428571
2019,12.3
