"County","National.Database.Number","Field.Number","HI","Nmfs.Regional.Number","Confidence.Code","Common.Name","Genus","Species","Report.Status","Examiner.Name","Affiliation","Stranding.Agreement.Authority","Region","Country","City","State","Body.of.Water","Locality.Detail","Latitude","Latitude.Units","Latitude.Actual.Estimate","Longitude","Longitude.Units","Longitude.Actual.Estimate","How.lat.long.determined","Restrand","Findings.of.Human.Interaction","Observation.Date","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Obs.Date.estimate.explaination","Observation.Date.Act.Est","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Date.of.Necropsy","Year.of.Necropsy","Month.of.Necropsy","Day.of.Necropsy","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","Long_error","Lat_error","long_corr","lat_corr","mean_lat","mean_long"
"Pacific","NW-2012-1145922","PSU12-06-25A-Pp",NA,"12NWR06072","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Oceanside","WA","Pacific Ocean","1.7 miles north of Cranberry Road access",46.42114,"dd.dddd","actual",-124.0612,"dd.dddd","NA","GPS","N","Y","2012-JUN-25",2012,"JUN","25","Beach or Land","NA","NA","Advanced Decomposition","N","2012-JUN-25","2012","JUN","25","Advanced Decomposition","N","Female","Adult","155","cm","actual","0","kg","2012-JUN-26","2012","JUN","26","D'Alessandro","NA","Harbor porpoise","WA_Coast",-0.00648863636362762,0.0210506818181813,-124.0612,46.42114,46.4421906818182,-124.067688636364
"Pacific","NW-2011-1134966","PSU11-05-05-Pp",NA,"11NWR05009","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Long Beach","WA","Pacific Ocean","0.5 mile north of Bolstad approach",46.36434,"dd.dddd","NA",-124.0646,"dd.dddd","NA","GPS","N","Y","2011-MAY-05",2011,"MAY","5","Beach or Land","NA","NA","Moderate Decomposition","N","2011-MAY-05","2011","MAY","5","Moderate Decomposition","N","Male","Adult","154","cm","estimate","0","lb","2011-MAY-07","2011","MAY","7","Duffield et al","NA","Harbor porpoise","WA_Coast",-0.00308863636362844,0.0778506818181839,-124.0646,46.36434,46.4421906818182,-124.067688636364
"Pacific","NW-2011-1134961","PSU11-04-27D-Pp",NA,"11NWR04023","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Ocean Park","WA","Pacific Ocean","3 miles south of Ocean Park access",46.53206,"dd.dddd","NA",-124.0613,"dd.dddd","NA","GPS","N","CBD","2011-APR-27",2011,"APR","27","Beach or Land","NA","NA","Moderate Decomposition","N","2011-APR-27","2011","APR","27","Moderate Decomposition","N","Male","Subadult","140","cm","actual","0","lb","2011-APR-29","2011","APR","29","Duffield and D'Alessandro","NA","Harbor porpoise","WA_Coast",-0.00638863636363851,-0.0898693181818189,-124.0613,46.53206,46.4421906818182,-124.067688636364
"Pacific","NW-2017-1196068","PSU17-04-28-Pp",NA,"17NWR04041","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Ocean Park","WA","Pacific Ocean","south of 225th Street access, Klipsan Beach",46.45445,"dd.dddd","actual",-124.0601,"dd.dddd","actual","GPS","N","Y","2017-APR-28",2017,"APR","28","Beach or Land","NA","NA","Moderate Decomposition","N","2017-APR-28","2017","APR","28","Moderate Decomposition","N","Female","Adult","174.5","cm","actual","NA","NA","2017-MAY-04","2017","MAY","4","Duffield et al.","NA","Harbor porpoise","WA_Coast",-0.00758863636363571,-0.0122593181818189,-124.0601,46.45445,46.4421906818182,-124.067688636364
"Pacific","NW-2012-1145864","PSU12-05-29-Pp",NA,"12NWR05117","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Seaview","WA","Pacific Ocean","0.7 mile south of Seaview Beach access",46.32008,"dd.dddd","actual",-124.0693,"dd.dddd","NA","GPS","N","Y","2012-MAY-29",2012,"MAY","29","Beach or Land","NA","NA","Advanced Decomposition","N","2012-MAY-29","2012","MAY","29","Advanced Decomposition","N","Male","Adult","148","cm","actual","0","kg","2012-MAY-30","2012","MAY","30","Duffield et al.","NA","Harbor porpoise","WA_Coast",0.00161136363635705,0.122110681818185,-124.0693,46.32008,46.4421906818182,-124.067688636364
"Pacific","NW-2018-1204863","PSU18-08-06A-Pp",NA,"18NWR08034","NA","Porpoise, harbor","Phocoena","phocoena","Validated","D. Duffield","Portland State University","Portland State University","NW","United States","Ocean Park","WA","Pacific Ocean","1.3 miles north of Oysterville Road access",46.56448,"dd.dddd","actual",-124.0647,"dd.dddd","actual","GPS","NA","Y","2018-AUG-06",2018,"AUG","6","Beach or Land","NA","NA","Fresh Dead","Y","2018-AUG-6","2018","AUG","6","Fresh Dead","NA","Female","Calf","101.5","cm","actual","NA","NA","2018-Nov-14","2018","NOV","14","Duffield et al.","the porpoise had severe trauma/hemorrhage about the head and neck - appeared like a band around head at blowhole; gaff mark/gash near head (right side); red foam in lungs; histopathology identified a systemic infection; histopathology also indicated that the lungs were poorly aerated and that this calf may have been aborted which would explain the trauma","Harbor porpoise","WA_Coast",-0.00298863636363933,-0.122289318181821,-124.0647,46.56448,46.4421906818182,-124.067688636364
"Pacific","NW-2006-1060969","CRC-757",NA,"06NWR07069","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Dyanna Lambourn","Washington Department of Fish and Wildlife","Washington Department of Fish and Wildlife","NW","United States","Long Beach","WA","Pacific Ocean","1.5 miles north of Balstad approach",46.3731,"dd.dddd","NA",-124.0641,"dd.dddd","NA","Internet","N","CBD","2006-JUN-22",2006,"JUN","22","Beach or Land","NA","NA","Fresh Dead","N","2006-JUN-22","2006","JUN","22","Fresh Dead","N","Female","Calf","82","cm","actual","8","kg","2006-JUL-22","2006","JUL","22","Lambourn & Huggins","Additional identifier: PSU06-07-23-Pp","Harbor porpoise","WA_Coast",-0.00358863636363083,0.0690906818181816,-124.0641,46.3731,46.4421906818182,-124.067688636364
"Pacific","NW-2012-1145879","PSU12-06-05-Pp",NA,"12NWR06040","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Oceanside","WA","Pacific Ocean","0.7 mile north of Cranberry Road access",46.40599,"dd.dddd","actual",-124.0618,"dd.dddd","NA","GPS","N","Y","2012-JUN-05",2012,"JUN","5","Beach or Land","NA","NA","Moderate Decomposition","N","2012-JUN-05","2012","JUN","5","Moderate Decomposition","N","Male","Adult","127","cm","actual","0","kg","2012-AUG-27","2012","AUG","27","Duffield et al.","NA","Harbor porpoise","WA_Coast",-0.00588863636363612,0.0362006818181797,-124.0618,46.40599,46.4421906818182,-124.067688636364
"Pacific","NW-2014-1159831","PSU14-07-07-Pp",NA,"14NWR07097","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Seaview","WA","Pacific Ocean","1.5 mi north of access",46.30917,"dd.dddd","actual",-124.0722,"dd.dddd","NA","GPS","N","CBD","2014-JUL-07",2014,"JUL","7","Beach or Land","NA","NA","Fresh Dead","N","2014-JUL-07","2014","JUL","7","Fresh Dead","N","Male","Calf","79","cm","actual","0","kg","2014-AUG-24","2014","AUG","24","Duffield and Powell","NA","Harbor porpoise","WA_Coast",0.00451136363635385,0.133020681818181,-124.0722,46.30917,46.4421906818182,-124.067688636364
"Pacific","NW-2005-1047045","CRC-563",NA,"05NWR06009","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Cascadia Research","Cascadia Research","Cascadia Research","NW","United States","Ocean Park","WA","Pacific Ocean","NA",46.49149,"dd.dddd","NA",-124.0597,"dd.dddd","NA","NA","N","CBD","2005-JUN-21",2005,"JUN","21","Beach or Land","NA","NA","Fresh Dead","N","2005-JUN-21","2005","JUN","21","Fresh Dead","N","Female","Adult","114","cm","actual","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","WA_Coast",-0.00798863636364899,-0.0492993181818164,-124.0597,46.49149,46.4421906818182,-124.067688636364
