"County","National.Database.Number","Field.Number","HI","Nmfs.Regional.Number","Confidence.Code","Common.Name","Genus","Species","Report.Status","Examiner.Name","Affiliation","Stranding.Agreement.Authority","Region","Country","City","State","Body.of.Water","Locality.Detail","Latitude","Latitude.Units","Latitude.Actual.Estimate","Longitude","Longitude.Units","Longitude.Actual.Estimate","How.lat.long.determined","Restrand","Findings.of.Human.Interaction","Observation.Date","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Obs.Date.estimate.explaination","Observation.Date.Act.Est","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Date.of.Necropsy","Year.of.Necropsy","Month.of.Necropsy","Day.of.Necropsy","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","Long_error","Lat_error","long_corr","lat_corr","mean_lat","mean_long"
"Clallam","NW-2000-1023709","MBHPp20001",NA,"NMFSNW-1505","NA","Porpoise, harbor","Phocoena","phocoena","Validated","Park Ranger","NA","NA","NW","United States","Rialto Beach","WA","Pacific Ocean","1/3 mile N of Hole in the Wall",47.95237,"dd.dddd","NA",-124.663,"dd.dddd","NA","NA","NA","N","2000-AUG-12",2000,"AUG","12","NA","NA","NA","Fresh Dead","N","2000-AUG-19","2000","AUG","19","Advanced Decomposition","N","Male","Unid","116","cm","actual","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.75528222222222,0.196555444444442,-124.663,47.95237,48.1489254444444,-123.907717777778
"Clallam","NW-2012-1143148","MKH2012-012",NA,"12NWR05014","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Adrianne Akmajian","Makah Fisheries Management","Makah Fisheries Management","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Ediz Hook",48.1378,"dd.dddd","NA",-124.439,"dd.dddd","NA","GPS","N","N","2012-MAY-14",2012,"MAY","14","Beach or Land","NA","NA","Fresh Dead","N","2012-MAY-14","2012","MAY","14","Fresh Dead","N","Male","Adult","155","cm","Actual","51.5","kg","2012-MAY-15","2012","MAY","15","MFM","Reported by the public to Rich Osborne (Juan de Fuca Marine Mammal Stranding Network) on 14-May-12. Porpoise was half way down the inside of Ediz Hook, at waterline. Bob Campbell (Feiro Marine Life Center) responded at scene and took photographs and measurements. Adrianne Akmajian (Makah Fisheries) met Bob at the scene and collected the carcass for necropsy. Adrianne transported the carcass to the WDFW lab in Lakewood, WA to perform the necropsy. Necropsy performed at WDFW based on desire to take sterile brain samples in culture media (primarily to test for protozoal parasites) which we do not have the capacity for at the Makah lab.","Harbor porpoise","Inland_WA",0.531282222222231,0.0111254444444455,-124.439,48.1378,48.1489254444444,-123.907717777778
"Clallam","NW-2014-1176979","JDF22JULY14A",NA,"14NWR07135","Confirmed - Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","Public","Feiro Marine Life Center","Feiro Marine Life Center","NW","United States","Sequim","WA","Pacific Ocean","S of Pt Williams boat ramp",48.09648,"dd.dddd","estimate",-123.0464,"dd.dddd","estimate","Internet","N","CBD","2014-JUL-22",2014,"JUL","22","NA","NA","NA","Alive","Y","NA","NA","NA","NA","NA","Y","Unid","Calf","30","in","estimate","NA","NA","NA","NA","NA","NA","NA","Called in on MMSN hotline. No visible signs of injury","Harbor porpoise","Inland_WA",-0.861317777777771,0.0524454444444444,-123.0464,48.09648,48.1489254444444,-123.907717777778
"Clallam","NW-2014-1159518","14-CL-022",NA,"14NWR06047","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Coast Guard","USCG","USCG","NW","United States","Port Angeles","WA","Pacific Ocean","Straight of Juan de Fuca",48.14184,"dd.dddd","estimate",-123.4347,"dd.dddd","estimate","NA","N","CBD","2014-JUN-09",2014,"JUN","9","Beach or Land","NA","NA","Advanced Decomposition","N","2014-JUN-09","2014","JUN","9","Advanced Decomposition","N","Unid","Adult","60","in","estimate","150","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.47301777777777,0.00708544444444215,-123.4347,48.14184,48.1489254444444,-123.907717777778
"Clallam","NW-2011-1140055","CRC-1162",NA,"11NWR07091","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Forks","WA","Pacific Ocean","Kalaloch Campground",47.613,"dd.dddd","NA",-124.376,"dd.dddd","NA","Internet/Software","N","CBD","2011-JUL-07",2011,"JUL","7","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","Moderate Decomposition","N","Male","Adult","5","ft","Estimated","100","lb","NA","NA","NA","NA","NA","no response based on condition of animal","Harbor porpoise","Inland_WA",0.468282222222214,0.535925444444445,-124.376,48.1489254444444,48.1489254444444,-123.907717777778
"Clallam","NW-2009-1103141","09-CM-032",NA,"09NWR08042","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Olympic Nat. Park","Olympic National Park","Olympic National Park","NW","United States","Ozette","WA","Pacific Ocean","Sand Point",48.12531,"dd.dddd","estimate",-124.7102,"dd.dddd","estimate","Internet","N","CBD","2009-AUG-11",2009,"AUG","11","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","NA","N","Unid","Adult","60","in","estimate","150","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.802482222222238,0.0236154444444452,-124.7102,48.12531,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1024227","Dng-01-002",NA,"NMFSNW-1979","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMFS","NA","Unknown","NW","United States","Sequim","WA","Strait of Juan de Fuca","Dungeness Spit",48.1687,"dd.dddd","NA",-123.1593,"dd.dddd","NA","NA","NA","N","2001-JAN-07",2001,"JAN","7","NA","NA","NA","Fresh Dead","N","2001-JAN-17","2001","JAN","17","Advanced Decomposition","N","Male","Unid","155","cm","actual","350","lb","NA","NA","NA","NA","Unknown","NA","Harbor porpoise","Inland_WA",-0.748417777777789,-0.0197745555555571,-123.1593,48.1687,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1025951","Dng-01-004",NA,"NMFSNW-3556","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMML","NA","Unknown","NW","United States","Sequim","WA","Strait of Juan de Fuca","4-mile marker; Strait side; Dungeness Spit",48.1762,"dd.dddd","NA",-123.1343,"dd.dddd","NA","NA","NA","N","2001-MAY-13",2001,"MAY","13","NA","NA","NA","Fresh Dead","N","2001-MAY-14","2001","MAY","14","Moderate Decomposition","N","Female","Unid","1010","cm","actual","NA","kg","NA","NA","NA","NA","Unknown","call taken & form completed by Pam Sanguinetti - USFWS agent","Harbor porpoise","Inland_WA",-0.77341777777778,-0.0272745555555574,-123.1343,48.1762,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1026274","NW-3877",NA,"NA","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMML","NA","Unknown","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","NE end of Ediz Hook; USCG station",48.1406,"dd.dddd","NA",-123.4023,"dd.dddd","NA","NA","NA","N","2001-MAY-17",2001,"MAY","17","NA","NA","NA","Fresh Dead","N","2001-MAY-17","2001","MAY","17","Moderate Decomposition","N","Male","Unid","135","cm","actual","90","lb","NA","NA","NA","NA","Unknown","NA","Harbor porpoise","Inland_WA",-0.50541777777778,0.00832544444444494,-123.4023,48.1406,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1045713","MBH2001-Pp001",NA,"01NWR03005","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","WDFW","Washington Department of Fish and Wildlife","Washington Department of Fish and Wildlife","NW","United States","NA","WA","Strait of Juan de Fuca","1/2 way between Pillar Point and Slip Point",48.2471,"dd.dddd","NA",-124.1783,"dd.dddd","NA","NA","N","CBD","2001-MAR-19",2001,"MAR","19","Floating","NA","NA","Fresh Dead","N","2001-MAR-19","2001","MAR","19","Fresh Dead","N","Female","Subadult","149","cm","actual","NA","NA","2001-JUN-01","2001","JUN","1","Walker, B. and Hanson, B.","NA","Harbor porpoise","Inland_WA",0.270582222222203,-0.0981745555555591,-124.1783,48.2471,48.1489254444444,-123.907717777778
"Clallam","NW-2010-1126554","CRC-1113",NA,"10NWR08060","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Bethany Diehl","Cascadia Research","Cascadia Research","NW","United States","Sequim","WA","Strait of Juan de Fuca","Dungeness Spit",48.1748,"dd.dddd","NA",-123.1476,"dd.dddd","NA","GPS","N","N","2010-AUG-17",2010,"AUG","17","Beach or Land","NA","NA","Fresh Dead","N","2010-AUG-17","2010","AUG","17","Fresh Dead","N","Female","Calf","97","cm","Actual","11.75","kg","2010-AUG-18","2010","AUG","18","CRC","NA","Harbor porpoise","Inland_WA",-0.760117777777765,-0.0258745555555535,-123.1476,48.1748,48.1489254444444,-123.907717777778
"Clallam","NW-2010-1139854","MKH-PP-10-1",NA,"10NWR03045","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jonathan Scordino","MFM","Makah Fisheries Management","NW","United States","Neah Bay","WA","Pacific Ocean","Hobuck beach",48.3365,"dd.dddd","NA",-124.6635,"dd.dddd","NA","GPS","N","N","2010-MAR-30",2010,"MAR","30","Beach or Land","NA","NA","Fresh Dead","N","2010-MAR-30","2010","MAR","30","Fresh Dead","N","Female","Adult","155","cm","Actual","NA","NA","2010-MAR-30","2010","MAR","30","MFM","Animal was heavily scavenged. Could not assess body condition. No gross signs of cause of death.","Harbor porpoise","Inland_WA",0.755782222222223,-0.187574555555557,-124.6635,48.3365,48.1489254444444,-123.907717777778
"Clallam","NW-2010-1120639","CRC-1021","Confirmed","10NWR01025","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Chrissy McLean","PTMSC","PTMSC","NW","United States","Sequim","WA","Strait of Juan de Fuca","Pt Williams boat ramp, Sequim",48.088,"dd.dddd","NA",-123.0425,"dd.dddd","NA","GPS","N","Y","2010-JAN-04",2010,"JAN","4","Beach or Land","NA","NA","Fresh Dead","N","2010-JAN-04","2010","JAN","4","Fresh Dead","N","Female","Subadult","112","cm","Actual","28","kg","2010-JAN-05","2010","JAN","5","CRC/WDFW","PTMSC removed from beach, Josh picked up at their facility to bring back for necropsy","Harbor porpoise","Inland_WA",-0.865217777777772,0.0609254444444431,-123.0425,48.088,48.1489254444444,-123.907717777778
"Clallam","NW-2010-1126527","CRC-1048",NA,"10NWR06074","Confirmed- Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","NA","Cascadia Research","Cascadia Research","NW","United States","La Push","WA","Pacific Ocean","1st beach",47.9023,"dd.dddd","NA",-124.6313,"dd.dddd","NA","Internet/Software","N","CBD","2010-JUN-14",2010,"JUN","14","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","Moderate Decomposition","N","Unid","Unid","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","Originally seen on 5-Jun-10, not reported until 14-Jun-10. Photos received 21-Jun-10. Examined via photos only","Harbor porpoise","Inland_WA",0.72358222222222,0.246625444444447,-124.6313,47.9023,48.1489254444444,-123.907717777778
"Clallam","NW-2010-1120856","WDFW2010-052",NA,"10NWR03017","Confirmed- Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Adrianne Akmajian","WDFW/MMI","WDFW/MMI","NW","United States","La Push","WA","Pacific Ocean","Between Rialto Beach access and Hole-in-the-Wall",47.9283,"dd.dddd","NA",-124.641,"dd.dddd","NA","Internet/Software","N","CBD","2010-MAR-23",2010,"MAR","23","Beach or Land","NA","NA","Fresh Dead","Y","NA","NA","NA","NA","Fresh Dead","N","Male","Subadult","120","cm","Estimated","NA","NA","NA","NA","NA","NA","NA","RP reported and sent pictures of porpoise seen with school group between Rialto Beach access and Hole-in-the-Wall, Olympic Coast. Dead, 3-4 ft, some cut marks around face and body most likely due to rolling in surf. ~One week later reports of dead ""baby o","Harbor porpoise","Inland_WA",0.733282222222229,0.220625444444444,-124.641,47.9283,48.1489254444444,-123.907717777778
"Clallam","NW-2016-1193352","MKH2016-004",NA,"16NWR04078","Confirmed- Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Quinton Thompson","Makah Fisheries Management","Makah Fisheries Management","NW","United States","Neah Bay","WA","Strait of Juan de Fuca","3rd Beach, Neah Bay",48.3672,"dd.dddd","estimate",-124.5694,"dd.dddd","estimate","Internet/Software","N","CBD","2016-APR-27",2016,"APR","27","Beach or Land","NA","NA","Fresh Dead","N","2016-APR-27","2016","APR","27","Fresh Dead","N","Unid","Calf","52","cm","actual","NA","NA","NA","NA","NA","NA","NA","Carcass heavily scavenged with skin only present from blowhole to snout and the end of the peduncle. The rest of body was scavenged to the bone.","Harbor porpoise","Inland_WA",0.661682222222225,-0.218274555555553,-124.5694,48.3672,48.1489254444444,-123.907717777778
"Clallam","NW-2016-1190310","JdFAug91A",NA,"16NWR08002","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Helle Andersen","Feiro Marine Life Center","Feiro Marine Life Center","NW","United States","Port Angeles","WA","Pacific Ocean","Next to the hanger building at the Coast Guard Station",48.13964,"dd.dddd","estimate",-123.4086,"dd.dddd","NA","Map","N","N","2016-AUG-10",2016,"AUG","10","NA","NA","NA","Moderate Decomposition","N","2016-AUG-10","2016","AUG","10","Moderate Decomposition","N","Male","Calf","33","in","actual","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.499117777777769,0.00928544444444412,-123.4086,48.13964,48.1489254444444,-123.907717777778
"Clallam","NW-2005-1047153","OLYM-2005-007",NA,"05NWR07027","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Park Ranger","Olympic National Park","Olympic National Park","NW","United States","Kalaloch","WA","Pacific Ocean","South Beach campground",47.56704,"dd.dddd","NA",-124.3632,"dd.dddd","NA","NA","N","CBD","2005-JUL-22",2005,"JUL","22","Beach or Land","NA","NA","Fresh Dead","N","2005-JUL-22","2005","JUL","22","Fresh Dead","N","Male","Calf","36","in","estimate","20","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.45548222222223,0.581885444444445,-124.3632,48.1489254444444,48.1489254444444,-123.907717777778
"Clallam","NW-2004-1028421","DNG04001",NA,"04NWR05012","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","USFWS","USFWS","NW","United States","Dungeness Spit NWR","WA","Strait of Juan de Fuca","Dungeness Spit",48.1792,"dd.dddd","NA",-123.1209,"dd.dddd","NA","NA","NA","CBD","2004-MAY-17",2004,"MAY","17","Beach or Land","NA","NA","Moderate Decomposition","N","2004-MAY-17","2004","MAY","17","Moderate Decomposition","N","Unid","Adult","177","cm","actual","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.786817777777784,-0.0302745555555575,-123.1209,48.1792,48.1489254444444,-123.907717777778
"Clallam","NW-2006-1058225","060412-JST-PHPH",NA,"06NWR04020","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","NA","Jamestown S'Klallam Tribe","NW","United States","Blyn","WA","Strait of Juan de Fuca","Toe of Sequim Bay behind Jamestown Tribal Center",48.0252,"dd.dddd","actual",-122.9976,"dd.dddd","actual","GPS","N","N","2006-APR-12",2006,"APR","12","Beach or Land","NA","NA","Alive","N","2006-APR-13","2006","APR","13","Fresh Dead","Y","Female","Adult","188","cm","actual","150","lb","NA","NA","NA","NA","NA","stuck in tideland flats for several hours; unable to reach animal without sinking in mud","Harbor porpoise","Inland_WA",-0.910117777777756,0.123725444444446,-122.9976,48.0252,48.1489254444444,-123.907717777778
"Clallam","NW-2006-1060995","06-CL-001",NA,"06NWR09019","Confirmed - Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","Public","citizen caller","citizen caller","NW","United States","NA","WA","Pacific Ocean","North of the Ozette River and 400 years north of Seafield Creek",48.21914,"dd.dddd","estimate",-124.6913,"dd.dddd","estimate","Map","N","N","2006-SEP-29",2006,"SEP","29","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","NA","N","Unid","Subadult","36","in","estimate","80","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.783582222222222,-0.0702145555555589,-124.6913,48.21914,48.1489254444444,-123.907717777778
"Clallam","NW-2006-1062617","CRC-769","Confirmed","06NWR08069","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","NA","WA","Strait of Juan de Fuca","off Sekiu",48.2761,"dd.dddd","NA",-124.2934,"dd.dddd","NA","NA","N","Y","2006-AUG-22",2006,"AUG","22","Swimming","NA","NA","Fresh Dead","N","2006-AUG-23","2006","AUG","23","Fresh Dead","N","Male","Adult","152","cm","actual","47","kg","2006-AUG-23","2006","AUG","23","Cascadia Research/WDFW","Packed on ice by fishery and transported to Port Angeles for pickup.","Harbor porpoise","Inland_WA",0.385682222222229,-0.127174555555555,-124.2934,48.2761,48.1489254444444,-123.907717777778
"Clallam","NW-2006-1062679","CRC-767","Confirmed","06NWR08041","NA","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","NA","WA","Strait of Juan de Fuca","Off Sekiu",48.2681,"dd.dddd","NA",-124.2797,"dd.dddd","NA","NA","N","Y","2006-AUG-14",2006,"AUG","14","Swimming","NA","NA","NA","N","2006-AUG-16","2006","AUG","16","Fresh Dead","N","Male","Subadult","140","cm","Actual","40","kg","2006-AUG-16","2006","AUG","16","Cascadia Research/WDFW","incidental catch form to be filled out and sent in by High Tide Seafoods.","Harbor porpoise","Inland_WA",0.371982222222215,-0.119174555555553,-124.2797,48.2681,48.1489254444444,-123.907717777778
"Clallam","NW-2002-1027200","NW-4754",NA,"02NWR03001","NA","Porpoise, harbor","Phocoena","phocoena","Validated","M. Brancato","NA","Olympic Coast NMS","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Ediz Hook - Bayside",48.141,"dd.dddd","NA",-123.4428,"dd.dddd","NA","NA","NA","N","2002-MAR-12",2002,"MAR","12","NA","NA","NA","Fresh Dead","N","2002-MAR-12","2002","MAR","12","Advanced Decomposition","N","Male","Unid","130","cm","actual","100","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.464917777777771,0.00792544444444587,-123.4428,48.141,48.1489254444444,-123.907717777778
"Clallam","NW-2002-1027213","NW-4767",NA,"NMFSNW-4767","NA","Porpoise, harbor","Phocoena","phocoena","Validated","Public","NA","Unknown","NW","United States","Crescent Bay","WA","Strait of Juan de Fuca",".25 mile W of mouth of Salt Creek",48.1582,"dd.dddd","NA",-123.7193,"dd.dddd","NA","NA","NA","N","2002-JUN-16",2002,"JUN","16","NA","NA","NA","Fresh Dead","N","2002-JUN-16","2002","JUN","16","Advanced Decomposition","N","Male","Unid","53","cm","actual","NA","in","NA","NA","NA","NA","NA","report forwarded to us by Jim Mead (sister of RP)","Harbor porpoise","Inland_WA",-0.188417777777772,-0.00927455555555667,-123.7193,48.1582,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000777","DNG-03-003",NA,"03NWR05004","Confirmed - Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","USFWS","USFWS","NW","United States","Sequim","WA","Strait of Juan de Fuca","2 miles S of Dungeness Spit",48.1422,"dd.dddd","NA",-123.1067,"dd.dddd","NA","NA","NA","CBD","2003-MAY-04",2003,"MAY","4","Beach or Land","NA","NA","Advanced Decomposition","Y","NA","NA","NA","NA","NA","N","Unid","Subadult","84","cm","estimate","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.801017777777787,0.00672544444444156,-123.1067,48.1422,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000771","03-CM-015",NA,"03NWR04009","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Park Ranger","National Park Service","National Park Service","NW","United States","South Sand Point","WA","Pacific Ocean","NA",48.10871,"dd.dddd","NA",-124.694,"dd.dddd","NA","NA","NA","N","2003-APR-19",2003,"APR","19","Beach or Land","NA","NA","Fresh Dead","N","2003-APR-19","2003","APR","19","Fresh Dead","NA","Unid","Unid","0","cm","actual","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.786282222222226,0.040215444444442,-124.694,48.10871,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1001423","MBHPp030712",NA,"03NWR07022","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","NMML","NMFS West Coast Region - Seattle","NMFS West Coast Region - Seattle","NW","United States","La Push","WA","Pacific Ocean",".8 mile S of Split Rock on Rialto Beach",47.91275,"dd.dddd","N",-124.6415,"dd.dddd","N","NA","NA","N","2003-JUL-10",2003,"JUL","10","Beach or Land","NA","NA","Moderate Decomposition","N","2003-JUL-12","2003","JUL","12","Moderate Decomposition","N","Unid","Unid","30","in","NA","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.733782222222231,0.236175444444441,-124.6415,47.91275,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1001199","03-CM-074",NA,"03NWR07008","Confirmed - Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","Park Ranger","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Mora","WA","Pacific Ocean","N of Cape Johnson, just S of Saddle Rock",47.97867,"dd.dddd","NA",-124.6735,"dd.dddd","NA","NA","NA","CBD","2003-JUL-20",2003,"JUL","20","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","NA","NA","Unid","Unid","0","cm","actual","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.765782222222214,0.170255444444443,-124.6735,47.97867,48.1489254444444,-123.907717777778
"Clallam","NW-2015-1176907","JDF03AUG15A",NA,"15NWR09013","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Public","Feiro Marine Life Center","Feiro Marine Life Center","NW","United States","Port Angeles","WA","Pacific Ocean","On Ediz Hook",48.14211,"dd.dddd","estimate",-123.4303,"dd.dddd","estimate","Internet","N","N","2015-AUG-03",2015,"AUG","3","Beach or Land","NA","NA","Fresh Dead","Y","2015-AUG-03","2015","AUG","3","Fresh Dead","N","Unid","Unid","40","in","estimate","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.477417777777774,0.00681544444444171,-123.4303,48.14211,48.1489254444444,-123.907717777778
"Clallam","NW-2008-1081437","DNG-08-01",NA,"08NWR07075","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","WDFW","USFWS","NMFS West Coast Region - Seattle","NW","United States","Sequim","WA","Pacific Ocean","Puget Sound Base of Dungeoness Spit, south 1/2 mile",48.14728,"dd.dddd","actual",-123.1852,"dd.dddd","actual","Internet","N","CBD","2008-JUL-21",2008,"JUL","21","NA","NA","NA","Fresh Dead","N","2008-JUL-21","2008","JUL","21","Fresh Dead","N","Female","Calf","87","cm","actual","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.722517777777782,0.00164544444444203,-123.1852,48.14728,48.1489254444444,-123.907717777778
"Clallam","NW-2005-1044157","05-CM-033",NA,"05NWR05001","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","West of Mouth of Elwha",48.1433,"dd.dddd","actual",-123.5716,"dd.dddd","actual","GPS","N","CBD","2005-MAY-04",2005,"MAY","4","Beach or Land","NA","NA","Advanced Decomposition","Y","NA","NA","NA","NA","NA","N","Unid","Unid","0","in","estimate","NA","NA","NA","NA","NA","NA","NA","only skeleton and some flesh left (heavily scavenged)","Harbor porpoise","Inland_WA",-0.336117777777773,0.00562544444444057,-123.5716,48.1433,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000776","DNG-03-002",NA,"03NWR05003","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Agency Biologist","USFWS","USFWS","NW","United States","Sequim","WA","Strait of Juan de Fuca","1 mile S of Dungeness Spit",48.1526,"dd.dddd","NA",-123.119,"dd.dddd","NA","NA","NA","CBD","2003-MAY-04",2003,"MAY","4","Beach or Land","NA","NA","Moderate Decomposition","N","2003-MAY-08","2003","MAY","8","Moderate Decomposition","N","Female","Adult","200","cm","estimate","NA","kg","NA","NA","NA","NA","NA","head only was CT scanned 7/20/03, but not necropsied","Harbor porpoise","Inland_WA",-0.788717777777777,-0.00367455555555551,-123.119,48.1526,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000780","DNG-03-001",NA,"03NWR05007","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Other (see ""Remarks"")","USFWS","USFWS","NW","United States","Sequim","WA","Strait of Juan de Fuca","Dungeness National Wildlife Refuge",48.1702,"dd.dddd","NA",-123.1429,"dd.dddd","NA","NA","NA","CBD","2003-MAY-06",2003,"MAY","6","Beach or Land","NA","NA","Fresh Dead","N","2003-MAY-06","2003","MAY","6","Fresh Dead","N","Female","Subadult","145.5","cm","actual","38.5","kg","2003-JUL-22","2003","JUL","22","Raverty, Gaydos, Norman, Fleetwood","was CT scanned 7/20/03","Harbor porpoise","Inland_WA",-0.764817777777779,-0.0212745555555571,-123.1429,48.1702,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000781","OCNMS03Pp01",NA,"03NWR05008","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","M. Brancato","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Discovery Trail E of MP2 at River Delta/Bridge",48.1171,"dd.dddd","NA",-123.4048,"dd.dddd","NA","NA","NA","N","2003-MAY-09",2003,"MAY","9","Beach or Land","NA","NA","Moderate Decomposition","N","2003-MAY-09","2003","MAY","9","Moderate Decomposition","N","Male","Adult","146","cm","actual","40","kg","2003-JUL-22","2003","JUL","22","Raverty, Gaydos, Norman, Fleetwood","head necropsied 7/22/03; body necropsied 7/23/03; head was CT scanned on 7/20/03","Harbor porpoise","Inland_WA",-0.502917777777768,0.0318254444444435,-123.4048,48.1171,48.1489254444444,-123.907717777778
"Clallam","NW-2003-1000784","OCNMS03Pp02",NA,"03NWR05011","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","M. Brancato","Olympic Coast National Marine Sanctuary","Olympic Coast National Marine Sanctuary","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Ediz Hook",48.1422,"dd.dddd","NA",-123.4348,"dd.dddd","NA","NA","NA","N","2003-MAY-16",2003,"MAY","16","Beach or Land","NA","NA","Fresh Dead","N","2003-MAY-16","2003","MAY","16","Fresh Dead","N","Female","Adult","136.5","cm","actual","37","kg","2003-JUL-23","2003","JUL","23","Raverty, Gaydos, Norman, Fleetwood","CT scanned on 7/20/03","Harbor porpoise","Inland_WA",-0.472917777777766,0.00672544444444156,-123.4348,48.1422,48.1489254444444,-123.907717777778
