County,National.Database.Number,Field.Number,HI,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Pacific,NW-2014-1170630,PSU14-08-30-Pp,,14NWR08109,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1 mi north of access,46.43617,dd.dddd,actual,-124.0609,dd.dddd,NA,GPS,N,Y,2014-AUG-30,2014,AUG,30,Beach or Land,NA,NA,Advanced Decomposition,N,2014-AUG-30,2014,AUG,30,Advanced Decomposition,N,Male,Adult,140.6,cm,actual,0,kg,2014-OCT-07,2014,OCT,7,Duffield et al.,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.001654013,0.020893954,-12406092,4643617
Pacific,NW-2014-1200514,PSU14-06-19-Pp,,14NWR06073,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,0.6 mile north of Bolstad Avenue West access,46.36113,dd.dddd,actual,-124.0650,dd.dddd,actual,GPS,N,Y,2014-JUN-19,2014,JUN,19,Beach or Land,NA,NA,Moderate Decomposition,N,2014-JUN-20,2014,JUN,20,Moderate Decomposition,N,Male,Subadult,133.5,cm,actual,NA,NA,2014-OCT-12,2014,OCT,12,Duffield et al.,abdominal and thoracic cavities filled with bloody fluid; tremendous hemorrhage around head/in body cavities; a significant amount of blood flowed from trachea and around thorax during head removal,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.002455987,0.095933954,-12406503,4636113
Pacific,NW-2014-1159830,PSU14-07-04-Pp,,14NWR07096,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1.6 mi north of Cranberry access,46.41873,dd.dddd,actual,-124.0618,dd.dddd,NA,GPS,N,CBD,2014-JUL-04,2014,JUL,4,Beach or Land,NA,NA,Mummified/Skeletal,N,2014-JUL-04,2014,JUL,4,Mummified/Skeletal,N,Unid,Adult,0,cm,estimate,0,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.000804013,0.038333954,-12406177,4641873
Pacific,NW-2014-1200512,PSU14-02-01-Pp,,14NWR02031,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,OPEN,D. Duffield,Portland State University,Portland State University,NW,United States,Ilwaco,WA,Pacific Ocean,Benson Beach at Cape Disappointment State Park,46.29599,dd.dddd,actual,-124.0751,dd.dddd,actual,GPS,N,CBD,2014-FEB-01,2014,FEB,1,NA,NA,NA,Moderate Decomposition,N,2014-FEB-01,2014,FEB,1,Moderate Decomposition,N,Female,Adult,162.5,cm,actual,NA,NA,2014-APR-08,2014,APR,8,Duffield and Powell,shad stuck in throat; bloody fluid in abdominal cavity; organs congested,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.012555987,0.161073954,-12407513,4629599
Pacific,NW-2014-1158440,PSU14-05-19A-Pp,,14NWR05064,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,near access,46.48693,dd.dddd,actual,-124.0603,dd.dddd,NA,GPS,N,Y,2014-MAY-19,2014,MAY,19,Beach or Land,NA,NA,Advanced Decomposition,N,2014-MAY-19,2014,MAY,19,Advanced Decomposition,N,Male,Adult,148,cm,actual,0,kg,2014-MAY-23,2014,MAY,23,Duffield,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.002324013,-0.029866046,-12406025,4648693
Pacific,NW-2014-1200576,PSU14-10-15-Pp,,14NWR10082,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,OPEN,D. Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,1 mile north of Bay Avenue access,46.50665,dd.dddd,actual,-124.0599,dd.dddd,actual,NA,N,CBD,2014-OCT-15,2014,OCT,15,Beach or Land,NA,NA,Condition Unknown,N,2014-OCT-15,2014,OCT,15,Condition Unknown,N,Unid,Calf,0,cm,estimate,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.002694013,-0.049586046,-12405988,4650665
Pacific,NW-2014-1159836,PSU14-07-16-Pp,,14NWR07102,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,6 mi south of access,46.48653,dd.dddd,actual,-124.0622,dd.dddd,NA,GPS,N,CBD,2014-JUL-15,2014,JUL,15,Beach or Land,NA,NA,Condition Unknown,N,2014-JUL-16,2014,JUL,16,Mummified/Skeletal,N,Unid,Adult,0,cm,estimate,0,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.000394013,-0.029466046,-12406218,4648653
Pacific,NW-2014-1158439,PSU14-05-19B-Pp,,14NWR05063,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Seaview,WA,Pacific Ocean,near access,46.32453,dd.dddd,actual,-124.0680,dd.dddd,NA,GPS,N,Y,2014-MAY-19,2014,MAY,19,Beach or Land,NA,NA,Moderate Decomposition,N,2014-MAY-19,2014,MAY,19,Moderate Decomposition,N,Male,Adult,139,cm,actual,0,kg,2014-MAY-22,2014,MAY,22,Duffield and Powell,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.005395987,0.132533954,-12406797,4632453
Pacific,NW-2014-1158427,PSU14-04-28-Pp,,14NWR04035,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,0.25 mi north of Sid Synder,46.35019,dd.dddd,estimate,-124.0654,dd.dddd,NA,Internet,N,CBD,2014-APR-28,2014,APR,28,Beach or Land,NA,NA,Mummified/Skeletal,Y,2014-APR-28,2014,APR,28,Mummified/Skeletal,N,Unid,Unid,0,cm,estimate,0,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.002865987,0.106873954,-12406544,4635019
Pacific,NW-2014-1157805,CRC-1368,,14NWR05042,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Grayland,WA,Pacific Ocean,03 miles S of county line,46.78940,dd.dddd,estimate,-124.1002,dd.dddd,estimate,Internet/Software,N,N,2014-MAY-17,2014,MAY,17,Beach or Land,NA,NA,Fresh Dead,N,2014-MAY-17,2014,MAY,17,Fresh Dead,N,Male,Yearling,118,cm,actual,28,kg,2014-MAY-17,2014,MAY,17,CRC,Kurt found while clamming. Picked up and brought to WDFW Lakewood for necropsy,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.037625987,-0.332336046,-1241002,467894
