MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat,MEI_lag1,NPGO_lag1,PDO_lag1,SST_39_lag1,SST_44_lag1,Upwelling_39_lag1,Upwelling_45_lag1,Wind_39_lag1,Wind_44_lag1,ENSO_cat_lag1,MEI_lag2,NPGO_lag2,PDO_lag2,SST_39_lag2,SST_44_lag2,Upwelling_39_lag2,Upwelling_45_lag2,Wind_39_lag2,Wind_44_lag2,ENSO_cat_lag2,MEI_lag3,NPGO_lag3,PDO_lag3,SST_39_lag3,SST_44_lag3,Upwelling_39_lag3,Upwelling_45_lag3,Wind_39_lag3,Wind_44_lag3,ENSO_cat_lag3,SST_39_anom,SST_44_anom,SST_39_anom_lag1,SST_44_anom_lag1,SST_39_anom_lag2,SST_44_anom_lag2,SST_39_anom_lag3,SST_44_anom_lag3,CBA_North,CBA_South,CBA_North_lag1,CBA_South_lag1,CBA_North_lag2,CBA_South_lag2,CBA_North_lag3,CBA_South_lag3,Month.of.Observation,Year.of.Observation
-0.145,1.3516272,-1.19,10.842,12.725,268.4336,51.8644,-3.68192,-3.368059,La Nina,-0.184,1.655785,-0.66,11.158,12.752,232.0018,43.1225,-4.75681,-2.477297,La Nina,-0.053,2.1020663,-0.44,11.615,12.192,202.8332,51.5571,-2.729,-3.72636,La Nina,0.169,2.220292,-0.05,11.07,12.315,176.3539,4.0163,-3.74296,-0.274684,El Nino,-1.656458333,-0.473772727,-0.722869565,-0.952590909,0.56412,-1.499136364,0.001956522,0.021954545,0.7472508,-0.13653222,0.30599985,-0.13856898,0.20340729,-0.21489106,-0.28476733,-0.22798447,NOV,2000
-0.227,1.3801795,-1.24,13.025,12.787,117.6193,16.4489,-2.34757,-0.92128,La Nina,-0.145,1.3516272,-1.19,10.842,12.725,268.4336,51.8644,-3.68192,-3.368059,La Nina,-0.184,1.655785,-0.66,11.158,12.752,232.0018,43.1225,-4.75681,-2.477297,La Nina,-0.053,2.1020663,-0.44,11.615,12.192,202.8332,51.5571,-2.729,-3.72636,La Nina,-0.11072,-0.819590909,-1.656458333,-0.473772727,-0.722869565,-0.952590909,0.56412,-1.499136364,0.40469307,-0.26738134,0.7472508,-0.13653222,0.30599985,-0.13856898,0.20340729,-0.21489106,DEC,2000
-0.387,1.6981881,-1.3,12.176,11.505,91.3889,-58.2156,-2.01036,0.405722,La Nina,-0.227,1.3801795,-1.24,13.025,12.787,117.6193,16.4489,-2.34757,-0.92128,La Nina,-0.145,1.3516272,-1.19,10.842,12.725,268.4336,51.8644,-3.68192,-3.368059,La Nina,-0.184,1.655785,-0.66,11.158,12.752,232.0018,43.1225,-4.75681,-2.477297,La Nina,-0.664115385,-1.409521739,-0.11072,-0.819590909,-1.656458333,-0.473772727,-0.722869565,-0.952590909,0.07878519,-0.23060031,0.40469307,-0.26738134,0.7472508,-0.13653222,0.30599985,-0.13856898,JAN,2001
-0.714,2.0145948,-0.53,11.828,10.749,37.7896,-75.0561,-1.39003,0.083168,La Nina,-0.387,1.6981881,-1.3,12.176,11.505,91.3889,-58.2156,-2.01036,0.405722,La Nina,-0.227,1.3801795,-1.24,13.025,12.787,117.6193,16.4489,-2.34757,-0.92128,La Nina,-0.145,1.3516272,-1.19,10.842,12.725,268.4336,51.8644,-3.68192,-3.368059,La Nina,-0.921615385,-1.221958333,-0.664115385,-1.409521739,-0.11072,-0.819590909,-1.656458333,-0.473772727,0.28724223,0.02211963,0.07878519,-0.23060031,0.40469307,-0.26738134,0.7472508,-0.13653222,FEB,2001
-0.566,2.164995,0.52,12.195,10.148,-7.1742,-120.4222,-0.78464,NA,La Nina,-0.714,2.0145948,-0.53,11.828,10.749,37.7896,-75.0561,-1.39003,0.083168,La Nina,-0.387,1.6981881,-1.3,12.176,11.505,91.3889,-58.2156,-2.01036,0.405722,La Nina,-0.227,1.3801795,-1.24,13.025,12.787,117.6193,16.4489,-2.34757,-0.92128,La Nina,-0.051076923,-0.913,-0.921615385,-1.221958333,-0.664115385,-1.409521739,-0.11072,-0.819590909,-0.022795834,-0.09546713,0.28724223,0.02211963,0.07878519,-0.23060031,0.40469307,-0.26738134,MAR,2001
-0.505,2.8619328,0.6,11.205,9.969,-47.0401,-114.3928,0.01824,NA,La Nina,-0.566,2.164995,0.52,12.195,10.148,-7.1742,-120.4222,-0.78464,NA,La Nina,-0.714,2.0145948,-0.53,11.828,10.749,37.7896,-75.0561,-1.39003,0.083168,La Nina,-0.387,1.6981881,-1.3,12.176,11.505,91.3889,-58.2156,-2.01036,0.405722,La Nina,-0.44316,-0.387333333,-0.051076923,-0.913,-0.921615385,-1.221958333,-0.664115385,-1.409521739,-0.10896632,-0.1606331,-0.022795834,-0.09546713,0.28724223,0.02211963,0.07878519,-0.23060031,APR,2001
-0.669,2.9560468,0.29,10.014,9.557,-54.0718,-65.3373,0.96353,-0.191139,La Nina,-0.505,2.8619328,0.6,11.205,9.969,-47.0401,-114.3928,0.01824,NA,La Nina,-0.566,2.164995,0.52,12.195,10.148,-7.1742,-120.4222,-0.78464,NA,La Nina,-0.714,2.0145948,-0.53,11.828,10.749,37.7896,-75.0561,-1.39003,0.083168,La Nina,-1.413333333,-0.581736842,-0.44316,-0.387333333,-0.051076923,-0.913,-0.921615385,-1.221958333,-0.05942255,-0.08382609,-0.10896632,-0.1606331,-0.022795834,-0.09546713,0.28724223,0.02211963,MAY,2001
-0.571,2.388775,0.45,10.546,9.552,145.5372,-21.1961,-3.45088,-0.378919,La Nina,-0.669,2.9560468,0.29,10.014,9.557,-54.0718,-65.3373,0.96353,-0.191139,La Nina,-0.505,2.8619328,0.6,11.205,9.969,-47.0401,-114.3928,0.01824,NA,La Nina,-0.566,2.164995,0.52,12.195,10.148,-7.1742,-120.4222,-0.78464,NA,La Nina,-0.669666667,-0.5639,-1.413333333,-0.581736842,-0.44316,-0.387333333,-0.051076923,-0.913,0.051433332,-0.29929096,-0.05942255,-0.08382609,-0.10896632,-0.1606331,-0.022795834,-0.09546713,JUN,2001
-0.091,2.2039413,-0.31,9.921,9.908,131.0277,-15.8013,-4.09427,0.737709,La Nina,-0.571,2.388775,0.45,10.546,9.552,145.5372,-21.1961,-3.45088,-0.378919,La Nina,-0.669,2.9560468,0.29,10.014,9.557,-54.0718,-65.3373,0.96353,-0.191139,La Nina,-0.505,2.8619328,0.6,11.205,9.969,-47.0401,-114.3928,0.01824,NA,La Nina,-1.062041667,-0.83065,-0.669666667,-0.5639,-1.413333333,-0.581736842,-0.44316,-0.387333333,0.13269043,-0.30710992,0.051433332,-0.29929096,-0.05942255,-0.08382609,-0.10896632,-0.1606331,JUL,2001
0.233,1.9538953,-0.3,10.34,11.141,312.8924,48.9878,-4.46399,-3.624092,El Nino,-0.091,2.2039413,-0.31,9.921,9.908,131.0277,-15.8013,-4.09427,0.737709,La Nina,-0.571,2.388775,0.45,10.546,9.552,145.5372,-21.1961,-3.45088,-0.378919,La Nina,-0.669,2.9560468,0.29,10.014,9.557,-54.0718,-65.3373,0.96353,-0.191139,La Nina,-0.728043478,-1.152045455,-1.062041667,-0.83065,-0.669666667,-0.5639,-1.413333333,-0.581736842,0.19147101,-0.2169017,0.13269043,-0.30710992,0.051433332,-0.29929096,-0.05942255,-0.08382609,AUG,2001
