"month","year","NPGO","upwell39","upwell45","PDO","SST39","SST45","MEI"
1,1999,1.0828257,-0.439718257619521,-1.59800509661445,-0.312989183475352,NA,-1.38318816763624,-1.34560074968256
1,2000,1.4045384,-1.29027952741948,-1.47007272963641,-1.89990056929721,-0.885130624222587,-1.33373342722876,-1.44191172121596
1,2001,2.8619328,-1.2108838429543,-1.03772638389709,0.556033718284236,-0.497110816926505,-1.14813269558187,-0.715518128686952
1,2002,1.8641573,-1.1156320971191,-1.74696251780934,0.244318981783514,NA,NA,-0.120246702221489
1,2003,1.9691832,-1.79752132657974,-1.90556675836618,1.96347298309053,0.504944408432829,-0.481948251269333,1.26871995953126
1,2004,0.26501486,-1.49899428873198,-2.01868843521386,0.395453399480834,-0.0616751472317158,-0.862458842169242,0.245270840345023
1,2005,-1.658495,-1.19828343689537,-0.786944518815009,0.404899300586916,0.342149947530602,NA,0.237148228287989
1,2006,-0.6459912,-0.970205301929836,-1.80751016822349,0.962207465845783,0.673270719948236,-0.283547469164029,-0.636612754418625
1,2007,-0.41231313,-0.0633380838553669,0.234956396196575,-0.00127444697463017,-0.801362600651539,-1.3063878648858,1.00299450795116
1,2008,0.55559534,-1.14117904208206,-0.842952266178604,-0.955310458688961,-1.1949142585608,NA,-1.3073084356994
1,2009,0.72178143,-0.37930804331467,-0.035262126579228,-1.33314650293226,-0.716014048333866,-1.52224326125257,-0.968479475605998
1,2010,2.0640118,-2.35009147919306,-2.61223487909483,0.773289443724133,0.21649791217403,-0.637876138671743,1.09698473318255
1,2011,0.32143703,-0.521760938673021,-0.288406968799691,-0.879743249840301,-0.554800116178265,-1.28893325062434,-2.13465449236582
1,2012,0.83337843,-0.887205321099448,-1.1933930401271,-1.31425470072009,-0.720755634573737,-1.60893451208451,-1.27713873377328
1,2013,1.2303061,-0.320413623329032,0.144578532512683,-0.133517062459785,-0.803733393771474,-1.19002376980938,-0.0204546112350763
1,2014,-0.3899692,-0.552131169586088,-0.320516626004211,0.272656685101762,-0.403859620875715,-1.77940791137147,-0.453273796559867
1,2015,-0.550257,-0.61484893619156,-0.26010060366847,2.3035254229095,NA,0.252891009138289,0.343902558180431
1,2016,0.9388876,-2.13006971160753,-2.1861396014254,1.43450252114991,0.835274916477151,-0.309147570080843,2.43141385683807
1,2017,-0.26638854,-1.55650166912822,-0.887688093673714,0.716614037087638,NA,-0.920640889707456,-0.20031244964082
1,2018,-1.4850568,-1.01994475898366,-1.60156664865913,0.650492729345061,NA,-0.577948629707384,-0.862885518864562
1,2019,-0.8576229,-1.90704645389183,-1.426616478942,0.612709124920731,0.53734524773861,NA,NA
2,1999,2.3041594,-1.49033260690791,-4.5986709143685,-0.634149821082156,NA,-1.54784336216939,-1.44307209436696
2,2000,2.123531,-1.98699143613292,-1.17452592700342,-0.794730139885558,-0.377780896556427,-1.15744182318798,-1.51965672233328
2,2001,2.9560468,-1.26967375423068,-0.41685319154537,0.263210783995679,-1.43831568554083,-1.3878427314393,-0.893055220790686
2,2002,2.1773567,-0.821853935020441,-0.469977777729938,-0.615258018869991,-0.694676910254449,-1.40878826855306,-0.325632749949339
2,2003,0.9925656,-0.291723892460982,0.324458426897198,1.64231234548372,0.293943820758583,-0.767622104681957,0.955419208759961
2,2004,0.6672296,-1.62925896038074,-1.40641789717902,0.442682905011246,-0.256080183066413,-1.00791396101477,0.289365020083205
2,2005,-1.4948708,-0.810485895661185,0.451638995042777,0.754397641511968,0.465431189767239,NA,0.806891445431346
